time	I(Rq)
Step Information: C_d=50f  (Run: 1/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.784039e-07
1.001218984351985e-08	7.569313e-07
1.002249038894824e-08	9.055829e-07
1.003346282669146e-08	1.063791e-06
1.004483188195860e-08	1.199363e-06
1.006756999249288e-08	1.408624e-06
1.010000000000000e-08	1.642840e-06
1.010972900225214e-08	1.687175e-06
1.012270100525498e-08	1.736609e-06
1.014864501126068e-08	1.809833e-06
1.020053302327207e-08	1.908118e-06
1.022675781250000e-08	1.939381e-06
1.024755042154415e-08	1.954756e-06
1.025841478191171e-08	1.960752e-06
1.028014350264682e-08	1.969946e-06
1.030000000000000e-08	1.976870e-06
1.030595694920595e-08	1.978399e-06
1.031389954814722e-08	1.980222e-06
1.032978474602976e-08	1.983225e-06
1.036155514179484e-08	1.987124e-06
1.040000000000000e-08	1.989220e-06
1.315589781043598e-08	1.841885e-06
1.630531187293596e-08	1.693490e-06
1.996742124793588e-08	1.544324e-06
2.392249937293580e-08	1.407455e-06
2.802406187293571e-08	1.288006e-06
3.227210874793573e-08	1.184543e-06
3.666663999793584e-08	1.095593e-06
4.128089781043595e-08	1.018575e-06
4.611488218543607e-08	9.526626e-07
5.124183531043619e-08	8.961758e-07
5.673499937293633e-08	8.479546e-07
6.274085874793647e-08	8.067250e-07
6.933265562293663e-08	7.721563e-07
7.204261656043669e-08	7.605444e-07
7.497230406043676e-08	7.494182e-07
7.500000000000000e-08	7.493194e-07
Step Information: C_d=55f  (Run: 2/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.776337e-07
1.001218984351985e-08	7.514597e-07
1.002269941129945e-08	8.943506e-07
1.003399301721320e-08	1.048319e-06
1.004568254105596e-08	1.181134e-06
1.006906158874149e-08	1.389346e-06
1.010000000000000e-08	1.609390e-06
1.010928152337755e-08	1.653081e-06
1.012165688788096e-08	1.702696e-06
1.014640761688777e-08	1.778360e-06
1.019590907490139e-08	1.882852e-06
1.022675781250000e-08	1.926037e-06
1.023830252480278e-08	1.936492e-06
1.026139194940834e-08	1.951266e-06
1.030000000000000e-08	1.970562e-06
1.031158241517750e-08	1.974072e-06
1.032702563541416e-08	1.977916e-06
1.035791207588749e-08	1.983043e-06
1.040000000000000e-08	1.986504e-06
1.338691787724879e-08	1.837869e-06
1.682930068974875e-08	1.687200e-06
2.078437881474867e-08	1.537853e-06
2.503242568974858e-08	1.401685e-06
2.935371475224849e-08	1.284975e-06
3.382148818974857e-08	1.183746e-06
3.850898818974869e-08	1.095291e-06
4.341621475224881e-08	1.018843e-06
4.854316787724893e-08	9.534813e-07
5.396308975224906e-08	8.975095e-07
5.982246475224920e-08	8.491999e-07
6.619453506474935e-08	8.080434e-07
7.212715225224950e-08	7.780928e-07
7.498359756474957e-08	7.660176e-07
7.500000000000000e-08	7.659521e-07
Step Information: C_d=60f  (Run: 3/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.769550e-07
1.001218984351985e-08	7.466206e-07
1.002289991630040e-08	8.842873e-07
1.003450599098270e-08	1.034349e-06
1.004650595133209e-08	1.164544e-06
1.007050587203087e-08	1.371499e-06
1.010000000000000e-08	1.577749e-06
1.010884823839074e-08	1.620396e-06
1.012064588957839e-08	1.669610e-06
1.014424119195370e-08	1.746622e-06
1.019143179670431e-08	1.855638e-06
1.022675781250000e-08	1.912434e-06
1.022934796840862e-08	1.915425e-06
1.023452828022586e-08	1.920374e-06
1.024488890386034e-08	1.929197e-06
1.026561015112930e-08	1.943602e-06
1.030000000000000e-08	1.963044e-06
1.031031695466121e-08	1.966911e-06
1.032407289420949e-08	1.971276e-06
1.035158477330605e-08	1.977227e-06
1.040000000000000e-08	1.982810e-06
1.354879471504092e-08	1.836224e-06
1.721090409004088e-08	1.686140e-06
2.138570877754079e-08	1.538383e-06
2.585348221504070e-08	1.403886e-06
3.046774002754064e-08	1.286713e-06
3.522848221504075e-08	1.185294e-06
4.020895096504087e-08	1.096890e-06
4.540914627754100e-08	1.020611e-06
5.082906815254113e-08	9.554506e-07
5.661520096504127e-08	8.990523e-07
6.276754471504141e-08	8.510960e-07
6.943258377754158e-08	8.102230e-07
7.199606034004164e-08	7.970289e-07
7.499899002754171e-08	7.831021e-07
7.500000000000000e-08	7.830977e-07
Step Information: C_d=65f  (Run: 4/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.763526e-07
1.001218984351985e-08	7.423099e-07
1.002309288545016e-08	8.752147e-07
1.003500362078430e-08	1.021664e-06
1.004730501824581e-08	1.149371e-06
1.007190781316883e-08	1.354916e-06
1.010000000000000e-08	1.547840e-06
1.010842765604935e-08	1.589148e-06
1.011966453078182e-08	1.637496e-06
1.014213828024675e-08	1.714909e-06
1.018708577917661e-08	1.826897e-06
1.022675781250000e-08	1.888659e-06
1.030000000000000e-08	1.956982e-06
1.030732421875000e-08	1.960002e-06
1.032197265625000e-08	1.965373e-06
1.035126953125000e-08	1.972850e-06
1.040000000000000e-08	1.979684e-06
1.376899414062500e-08	1.832482e-06
1.765083007812495e-08	1.683206e-06
2.211860351562485e-08	1.534892e-06
2.687934570312476e-08	1.400577e-06
3.178657226562474e-08	1.283830e-06
3.684028320312487e-08	1.182966e-06
4.211372070312499e-08	1.095236e-06
4.760688476562513e-08	1.019649e-06
5.339301757812527e-08	9.543858e-07
5.947211914062542e-08	8.987579e-07
6.599067382812557e-08	8.509816e-07
7.236274414062573e-08	8.137820e-07
7.499946289062579e-08	8.006736e-07
7.500000000000000e-08	8.006710e-07
Step Information: C_d=70f  (Run: 5/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.758142e-07
1.001218984351985e-08	7.384634e-07
1.002332621808381e-08	8.675495e-07
1.003556915301327e-08	1.010966e-06
1.004818385731656e-08	1.136386e-06
1.007341326592315e-08	1.340539e-06
1.010000000000000e-08	1.519564e-06
1.010797602022305e-08	1.559121e-06
1.011861071385379e-08	1.606032e-06
1.013988010111527e-08	1.682778e-06
1.018241887563822e-08	1.795983e-06
1.022675781250000e-08	1.871358e-06
1.030000000000000e-08	1.948103e-06
1.030732421875000e-08	1.951624e-06
1.032197265625000e-08	1.957925e-06
1.035126953125000e-08	1.966826e-06
1.040000000000000e-08	1.975219e-06
1.398872070312500e-08	1.827683e-06
1.816352539062494e-08	1.676843e-06
2.292426757812484e-08	1.528590e-06
2.797797851562473e-08	1.394936e-06
3.317817382812478e-08	1.278998e-06
3.852485351562491e-08	1.178996e-06
4.409125976562504e-08	1.092184e-06
4.987739257812518e-08	1.017488e-06
5.595649414062533e-08	9.530766e-07
6.240180664062549e-08	8.976349e-07
6.928657226562565e-08	8.501950e-07
7.236274414062573e-08	8.322713e-07
7.499946289062579e-08	8.183043e-07
7.500000000000000e-08	8.183017e-07
Step Information: C_d=75f  (Run: 6/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.753302e-07
1.001218984351985e-08	7.350329e-07
1.002365796963125e-08	8.617494e-07
1.003630469210677e-08	1.003032e-06
1.004927043225526e-08	1.126455e-06
1.007520191255223e-08	1.329444e-06
1.010000000000000e-08	1.492827e-06
1.010743942623433e-08	1.530025e-06
1.011735866121344e-08	1.574718e-06
1.013719713117166e-08	1.649422e-06
1.017687407108809e-08	1.761606e-06
1.022675781250000e-08	1.853492e-06
1.030000000000000e-08	1.938613e-06
1.030732421875000e-08	1.942630e-06
1.032197265625000e-08	1.949858e-06
1.035126953125000e-08	1.960193e-06
1.040000000000000e-08	1.970169e-06
1.420844726562501e-08	1.822459e-06
1.860297851562493e-08	1.672685e-06
2.365668945312482e-08	1.524270e-06
2.900336914062471e-08	1.391006e-06
3.449653320312481e-08	1.275615e-06
4.013618164062495e-08	1.176231e-06
4.599555664062509e-08	1.090105e-06
5.207465820312524e-08	1.016088e-06
5.844672851562539e-08	9.523371e-07
6.525825195312556e-08	8.969791e-07
7.236274414062573e-08	8.506186e-07
7.499946289062579e-08	8.358912e-07
7.500000000000000e-08	8.358883e-07
Step Information: C_d=80f  (Run: 7/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.748926e-07
1.001218984351985e-08	7.319205e-07
1.002398102567324e-08	8.560162e-07
1.003825455576157e-08	1.007638e-06
1.005129861878735e-08	1.126821e-06
1.007391187394843e-08	1.298447e-06
1.010000000000000e-08	1.467504e-06
1.010782643781547e-08	1.506552e-06
1.011826168823610e-08	1.553471e-06
1.013913218907736e-08	1.631904e-06
1.018087319075987e-08	1.751018e-06
1.022675781250000e-08	1.838107e-06
1.030000000000000e-08	1.928299e-06
1.030732421875000e-08	1.932822e-06
1.032197265625000e-08	1.941001e-06
1.035126953125000e-08	1.952817e-06
1.040000000000000e-08	1.964433e-06
1.442817382812501e-08	1.816707e-06
1.904243164062492e-08	1.668026e-06
2.438911132812481e-08	1.519606e-06
2.995551757812470e-08	1.388401e-06
3.566840820312484e-08	1.274690e-06
4.160102539062498e-08	1.175516e-06
4.775336914062513e-08	1.089706e-06
5.412543945312529e-08	1.016042e-06
6.086372070312545e-08	9.520350e-07
6.796821289062562e-08	8.971890e-07
7.236274414062573e-08	8.686700e-07
7.499946289062579e-08	8.532778e-07
7.500000000000000e-08	8.532748e-07
Step Information: C_d=85f  (Run: 8/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.744951e-07
1.001218984351985e-08	7.290836e-07
1.002429601063708e-08	8.511644e-07
1.003870049396017e-08	9.979000e-07
1.005213587855371e-08	1.116584e-06
1.007312923081292e-08	1.272125e-06
1.010000000000000e-08	1.443624e-06
1.010806123075612e-08	1.483703e-06
1.011880953843095e-08	1.531953e-06
1.014030615378061e-08	1.612865e-06
1.018329938447994e-08	1.737128e-06
1.022675781250000e-08	1.822232e-06
1.030000000000000e-08	1.917545e-06
1.030732421875000e-08	1.922558e-06
1.032197265625000e-08	1.931664e-06
1.035126953125000e-08	1.944937e-06
1.040000000000000e-08	1.958177e-06
1.464790039062501e-08	1.810563e-06
1.955512695312491e-08	1.660906e-06
2.519477539062479e-08	1.512921e-06
3.105415039062472e-08	1.382444e-06
3.706000976562487e-08	1.269545e-06
4.328559570312502e-08	1.171262e-06
4.973090820312518e-08	1.086345e-06
5.646918945312534e-08	1.012794e-06
6.350043945312551e-08	9.497367e-07
7.097114257812569e-08	8.952598e-07
7.236274414062573e-08	8.863349e-07
7.499946289062579e-08	8.703669e-07
7.500000000000000e-08	8.703637e-07
Step Information: C_d=90f  (Run: 9/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.741326e-07
1.001218984351985e-08	7.264868e-07
1.002460347939229e-08	8.466503e-07
1.003913739240190e-08	9.888615e-07
1.005300649860903e-08	1.107446e-06
1.007226178758573e-08	1.246757e-06
1.010000000000000e-08	1.421020e-06
1.010832146372428e-08	1.462163e-06
1.011941674868999e-08	1.511764e-06
1.014160731862140e-08	1.595140e-06
1.018598845848424e-08	1.724516e-06
1.022675781250000e-08	1.806430e-06
1.030000000000000e-08	1.906376e-06
1.030732421875000e-08	1.911865e-06
1.032197265625000e-08	1.921873e-06
1.035126953125000e-08	1.936576e-06
1.040000000000000e-08	1.951420e-06
1.486762695312501e-08	1.804037e-06
2.006782226562490e-08	1.653635e-06
2.607368164062477e-08	1.504498e-06
3.222602539062475e-08	1.375049e-06
3.852485351562491e-08	1.263202e-06
