time	I(Rq)
Step Information: C_d=50f  (Run: 1/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-9.769963e-21
1.000953125000000e-08	8.648934e-09
1.002859375000000e-08	4.374963e-08
1.006187500000000e-08	1.624993e-07
1.010000000000000e-08	3.600207e-07
1.030000000000000e-08	1.782466e-06
1.032454375000000e-08	1.922984e-06
1.035726875000000e-08	2.043827e-06
1.040000000000000e-08	2.131474e-06
1.535670687500000e-08	1.850028e-06
2.082545687500004e-08	1.582412e-06
2.629420687500008e-08	1.353508e-06
3.195826937500008e-08	1.151274e-06
3.762233187500003e-08	9.792566e-07
4.348170687499997e-08	8.283059e-07
4.953639437499992e-08	6.967252e-07
5.578639437499986e-08	5.827855e-07
6.223170687499989e-08	4.847662e-07
6.906764437500005e-08	3.987577e-07
7.609889437500022e-08	3.261836e-07
8.352076937500040e-08	2.638567e-07
9.152858187500060e-08	2.098958e-07
1.003176443750008e-07	1.632846e-07
1.098879568750010e-07	1.242203e-07
1.206301443750013e-07	9.138997e-08
1.329348318750016e-07	6.430082e-08
1.473879568750019e-07	4.254766e-08
1.651613943750024e-07	2.560560e-08
1.885988943750029e-07	1.310726e-08
1.930910818750031e-07	1.152845e-08
1.999270193750032e-07	9.482993e-09
2.000000000000000e-07	9.463213e-09
Step Information: C_d=55f  (Run: 2/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-1.243450e-20
1.000953125000000e-08	8.072522e-09
1.002859375000000e-08	4.083448e-08
1.006187500000000e-08	1.516744e-07
1.010000000000000e-08	3.360421e-07
1.030000000000000e-08	1.664038e-06
1.032454375000000e-08	1.795270e-06
1.035726875000000e-08	1.908174e-06
1.040000000000000e-08	1.990134e-06
1.613795687500000e-08	1.707784e-06
2.199733187500005e-08	1.460744e-06
2.785670687500009e-08	1.249440e-06
3.391139437500007e-08	1.063151e-06
4.016139437500001e-08	8.999374e-07
4.660670687499994e-08	7.578230e-07
5.324733187499988e-08	6.348357e-07
6.008326937499984e-08	5.290453e-07
6.711451937500001e-08	4.385938e-07
7.453639437500019e-08	3.598389e-07
8.234889437500038e-08	2.921662e-07
9.074733187500058e-08	2.335424e-07
9.973170687500080e-08	1.837875e-07
1.094973318750010e-07	1.416505e-07
1.204348318750013e-07	1.058153e-07
1.327395193750016e-07	7.621587e-08
1.469973318750019e-07	5.211019e-08
1.641848318750024e-07	3.295115e-08
1.860598318750029e-07	1.838787e-08
1.928957693750031e-07	1.532368e-08
1.999270193750032e-07	1.270372e-08
2.000000000000000e-07	1.267899e-08
Step Information: C_d=60f  (Run: 3/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	1.376677e-20
1.000953125000000e-08	7.568140e-09
1.002859375000000e-08	3.828354e-08
1.006187500000000e-08	1.422017e-07
1.010000000000000e-08	3.150582e-07
1.030000000000000e-08	1.560366e-06
1.032454375000000e-08	1.683464e-06
1.035726875000000e-08	1.789407e-06
1.040000000000000e-08	1.866374e-06
1.652858187500001e-08	1.601256e-06
2.277858187500005e-08	1.369627e-06
2.922389437500010e-08	1.165797e-06
3.566920687500005e-08	9.923017e-07
4.230983187499999e-08	8.405120e-07
4.914576937499992e-08	7.084734e-07
5.617701937499985e-08	5.942683e-07
6.359889437499992e-08	4.936287e-07
7.121608187500011e-08	4.080352e-07
7.922389437500030e-08	3.340056e-07
8.781764437500051e-08	2.694314e-07
9.699733187500073e-08	2.141809e-07
1.069582693750010e-07	1.669672e-07
1.178957693750012e-07	1.270218e-07
1.300051443750015e-07	9.384308e-08
1.438723318750019e-07	6.635000e-08
1.600832693750023e-07	4.424177e-08
1.800051443750027e-07	2.688643e-08
1.928957693750031e-07	1.947936e-08
1.999270193750032e-07	1.633925e-08
2.000000000000000e-07	1.630943e-08
Step Information: C_d=65f  (Run: 4/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	4.440892e-21
1.000953125000000e-08	7.123080e-09
1.002859375000000e-08	3.603258e-08
1.006187500000000e-08	1.338427e-07
1.010000000000000e-08	2.965409e-07
1.030000000000000e-08	1.468855e-06
1.032454375000000e-08	1.584768e-06
1.035726875000000e-08	1.684558e-06
1.040000000000000e-08	1.757105e-06
1.691920687500001e-08	1.507239e-06
2.355983187500006e-08	1.289209e-06
3.039576937500010e-08	1.097663e-06
3.742701937500003e-08	9.302905e-07
4.465358187499996e-08	7.848242e-07
5.207545687499989e-08	6.590683e-07
5.969264437499983e-08	5.509251e-07
6.770045687500002e-08	4.563132e-07
7.609889437500022e-08	3.744914e-07
8.488795687500044e-08	3.045292e-07
9.426295687500067e-08	2.442466e-07
1.042238943750009e-07	1.932149e-07
1.151613943750012e-07	1.493734e-07
1.272707693750015e-07	1.123392e-07
1.407473318750018e-07	8.181220e-08
1.563723318750022e-07	5.664359e-08
1.751223318750026e-07	3.643761e-08
1.928957693750031e-07	2.398437e-08
1.999270193750032e-07	2.032715e-08
2.000000000000000e-07	2.029223e-08
Step Information: C_d=70f  (Run: 5/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	3.774758e-20
1.000953125000000e-08	6.727458e-09
1.002859375000000e-08	3.403162e-08
1.006187500000000e-08	1.264118e-07
1.010000000000000e-08	2.800795e-07
1.030000000000000e-08	1.387482e-06
1.032454375000000e-08	1.497003e-06
1.035726875000000e-08	1.591316e-06
1.040000000000000e-08	1.659922e-06
1.750514437500001e-08	1.417483e-06
2.473170687500007e-08	1.207187e-06
3.195826937500008e-08	1.028089e-06
3.938014437500001e-08	8.717707e-07
4.699733187499994e-08	7.360186e-07
5.500514437499986e-08	6.160350e-07
6.320826937499991e-08	5.133777e-07
7.180201937500012e-08	4.241297e-07
8.078639437500034e-08	3.473685e-07
9.035670687500057e-08	2.808195e-07
1.005129568750008e-07	2.240832e-07
1.114504568750011e-07	1.757322e-07
1.233645193750014e-07	1.348555e-07
1.366457693750017e-07	1.003902e-07
1.516848318750020e-07	7.187028e-08
1.692629568750025e-07	4.862984e-08
1.905520193750030e-07	3.029995e-08
1.928957693750031e-07	2.876222e-08
1.999270193750032e-07	2.460155e-08
2.000000000000000e-07	2.456165e-08
Step Information: C_d=75f  (Run: 6/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-1.243450e-20
1.000953125000000e-08	6.373470e-09
1.002859375000000e-08	3.224120e-08
1.006187500000000e-08	1.197626e-07
1.010000000000000e-08	2.653495e-07
1.030000000000000e-08	1.314653e-06
1.032454375000000e-08	1.418449e-06
1.035726875000000e-08	1.507855e-06
1.040000000000000e-08	1.572926e-06
1.789576937500002e-08	1.343309e-06
2.551295687500007e-08	1.144278e-06
3.332545687500007e-08	9.707368e-07
4.133326937499999e-08	8.201355e-07
4.953639437499992e-08	6.900555e-07
5.793483187499984e-08	5.782247e-07
6.672389437500000e-08	4.805491e-07
7.590358187500022e-08	3.961023e-07
8.566920687500046e-08	3.224926e-07
9.602076937500071e-08	2.593432e-07
1.069582693750010e-07	2.060026e-07
1.188723318750013e-07	1.603030e-07
1.319582693750016e-07	1.217016e-07
1.466067068750019e-07	8.940562e-08
1.634035818750023e-07	6.277548e-08
1.833254568750028e-07	4.127084e-08
1.928957693750031e-07	3.373972e-08
1.999270193750032e-07	2.909733e-08
2.000000000000000e-07	2.905261e-08
Step Information: C_d=80f  (Run: 7/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	1.154632e-20
1.000953125000000e-08	6.054872e-09
1.002859375000000e-08	3.062976e-08
1.006187500000000e-08	1.137780e-07
1.010000000000000e-08	2.520915e-07
1.030000000000000e-08	1.249087e-06
1.032454375000000e-08	1.347728e-06
1.035726875000000e-08	1.432712e-06
1.040000000000000e-08	1.494595e-06
1.828639437500002e-08	1.276512e-06
2.629420687500008e-08	1.087601e-06
3.449733187500006e-08	9.230350e-07
4.289576937499998e-08	7.803154e-07
5.168483187499990e-08	6.545296e-07
6.066920687499985e-08	5.468798e-07
7.004420687500008e-08	4.533792e-07
7.980983187500031e-08	3.729394e-07
9.016139437500057e-08	3.031975e-07
1.010988943750008e-07	2.436260e-07
1.130129568750011e-07	1.919726e-07
1.259035818750014e-07	1.483449e-07
1.401613943750018e-07	1.115400e-07
1.561770193750022e-07	8.096932e-08
1.747317068750026e-07	5.586713e-08
1.928957693750031e-07	3.884947e-08
1.999270193750032e-07	3.375292e-08
2.000000000000000e-07	3.370364e-08
Step Information: C_d=85f  (Run: 8/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	9.325873e-21
1.000953125000000e-08	5.766611e-09
1.002859375000000e-08	2.917173e-08
1.006187500000000e-08	1.083630e-07
1.010000000000000e-08	2.400952e-07
1.030000000000000e-08	1.189751e-06
1.032454375000000e-08	1.283724e-06
1.035726875000000e-08	1.364703e-06
1.040000000000000e-08	1.423695e-06
1.887233187500002e-08	1.211527e-06
2.746608187500009e-08	1.028592e-06
3.625514437500004e-08	8.700365e-07
4.523951937499996e-08	7.331894e-07
5.461451937499987e-08	6.132866e-07
6.418483187499993e-08	5.110874e-07
7.414576937500018e-08	4.227615e-07
8.469264437500043e-08	3.458188e-07
9.582545687500070e-08	2.797402e-07
1.077395193750010e-07	2.229453e-07
1.206301443750013e-07	1.744068e-07
1.346926443750016e-07	1.334241e-07
1.503176443750020e-07	9.907861e-08
1.680910818750024e-07	7.062411e-08
1.887942068750030e-07	4.760919e-08
1.928957693750031e-07	4.403130e-08
1.999270193750032e-07	3.851200e-08
2.000000000000000e-07	3.845845e-08
Step Information: C_d=90f  (Run: 9/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-8.881784e-21
1.000953125000000e-08	5.504548e-09
1.002859375000000e-08	2.784621e-08
1.006187500000000e-08	1.034401e-07
1.010000000000000e-08	2.291889e-07
1.030000000000000e-08	1.135797e-06
