time	I(Rq)
Step Information: C_q=10f  (Run: 1/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.803051e-07
1.001218984351985e-08	7.715117e-07
1.002479841644049e-08	9.750968e-07
1.003933069502744e-08	1.194230e-06
1.005393722702283e-08	1.367220e-06
1.007078693600922e-08	1.515346e-06
1.010000000000000e-08	1.712929e-06
1.010876391919723e-08	1.750088e-06
1.012044914479354e-08	1.791172e-06
1.014381959598616e-08	1.851226e-06
1.019056049837141e-08	1.927722e-06
1.022675781250000e-08	1.964053e-06
1.022930049022844e-08	1.965462e-06
1.023269072719969e-08	1.967110e-06
1.023947120114220e-08	1.970089e-06
1.025303214902721e-08	1.975114e-06
1.027287810422997e-08	1.980782e-06
1.030000000000000e-08	1.986744e-06
1.030813656873101e-08	1.987881e-06
1.031898532703902e-08	1.989155e-06
1.034068284365504e-08	1.991207e-06
1.035660496676796e-08	1.992378e-06
1.036815575377416e-08	1.993035e-06
1.037689842598761e-08	1.993449e-06
1.038251465557310e-08	1.993681e-06
1.038876754082902e-08	1.993811e-06
1.040000000000000e-08	1.993740e-06
1.273991785647148e-08	1.847217e-06
1.544987879397148e-08	1.697609e-06
1.852605066897141e-08	1.550616e-06
2.182194910647134e-08	1.416289e-06
2.519108973147127e-08	1.300040e-06
2.870671473147120e-08	1.197900e-06
3.229558191897124e-08	1.110591e-06
3.603093348147133e-08	1.034910e-06
3.998601160647143e-08	9.687767e-07
4.408757410647153e-08	9.126950e-07
4.848210535647163e-08	8.640900e-07
5.316960535647175e-08	8.227608e-07
5.829655848147187e-08	7.873737e-07
6.393620691897200e-08	7.576139e-07
7.030827723147216e-08	7.326861e-07
7.140691004397218e-08	7.291349e-07
7.499577723147227e-08	7.188036e-07
7.500000000000000e-08	7.187925e-07
Step Information: C_q=15f  (Run: 2/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.792857e-07
1.001218984351985e-08	7.635127e-07
1.002296319030674e-08	9.285519e-07
1.003464448184183e-08	1.103941e-06
1.004689765934553e-08	1.252010e-06
1.007140401435294e-08	1.475675e-06
1.010000000000000e-08	1.677019e-06
1.010857879569412e-08	1.715237e-06
1.012001718995294e-08	1.758208e-06
1.014289397847059e-08	1.822712e-06
1.018864755550589e-08	1.907735e-06
1.022675781250000e-08	1.946685e-06
1.030000000000000e-08	1.984068e-06
1.030732421875000e-08	1.985238e-06
1.032197265625000e-08	1.987255e-06
1.035126953125000e-08	1.989724e-06
1.040000000000000e-08	1.991145e-06
1.296333007812500e-08	1.843364e-06
1.589301757812498e-08	1.694533e-06
1.926215820312491e-08	1.546490e-06
2.292426757812484e-08	1.409643e-06
2.665961914062476e-08	1.291952e-06
3.054145507812471e-08	1.189345e-06
3.449653320312481e-08	1.102088e-06
3.867133789062491e-08	1.025723e-06
4.306586914062502e-08	9.597461e-07
4.768012695312513e-08	9.034604e-07
5.258735351562525e-08	8.553936e-07
5.793403320312538e-08	8.140379e-07
6.379340820312552e-08	7.790232e-07
7.031196289062568e-08	7.497242e-07
7.236274414062573e-08	7.421856e-07
7.499946289062579e-08	7.334842e-07
7.500000000000000e-08	7.334826e-07
Step Information: C_q=20f  (Run: 3/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.784039e-07
1.001218984351985e-08	7.569313e-07
1.002249038894824e-08	9.055829e-07
1.003346282669146e-08	1.063791e-06
1.004483188195860e-08	1.199363e-06
1.006756999249288e-08	1.408624e-06
1.010000000000000e-08	1.642840e-06
1.010972900225214e-08	1.687175e-06
1.012270100525498e-08	1.736609e-06
1.014864501126068e-08	1.809833e-06
1.020053302327207e-08	1.908118e-06
1.022675781250000e-08	1.939381e-06
1.024755042154415e-08	1.954756e-06
1.025841478191171e-08	1.960752e-06
1.028014350264682e-08	1.969946e-06
1.030000000000000e-08	1.976870e-06
1.030595694920595e-08	1.978399e-06
1.031389954814722e-08	1.980222e-06
1.032978474602976e-08	1.983225e-06
1.036155514179484e-08	1.987124e-06
1.040000000000000e-08	1.989220e-06
1.315589781043598e-08	1.841885e-06
1.630531187293596e-08	1.693490e-06
1.996742124793588e-08	1.544324e-06
2.392249937293580e-08	1.407455e-06
2.802406187293571e-08	1.288006e-06
3.227210874793573e-08	1.184543e-06
3.666663999793584e-08	1.095593e-06
4.128089781043595e-08	1.018575e-06
4.611488218543607e-08	9.526626e-07
5.124183531043619e-08	8.961758e-07
5.673499937293633e-08	8.479546e-07
6.274085874793647e-08	8.067250e-07
6.933265562293663e-08	7.721563e-07
7.196937437293669e-08	7.608408e-07
7.497230406043676e-08	7.494182e-07
7.500000000000000e-08	7.493194e-07
Step Information: C_q=25f  (Run: 4/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.776337e-07
1.001218984351985e-08	7.516255e-07
1.002306403656485e-08	8.990521e-07
1.003530160907838e-08	1.064343e-06
1.004698536332103e-08	1.195284e-06
1.007035287180633e-08	1.400429e-06
1.010000000000000e-08	1.609144e-06
1.010889413845810e-08	1.651194e-06
1.012075298973557e-08	1.699247e-06
1.014447069229051e-08	1.773269e-06
1.019190609740038e-08	1.875778e-06
1.022675781250000e-08	1.926727e-06
1.023029656980076e-08	1.930315e-06
1.023737408440229e-08	1.936055e-06
1.025152911360534e-08	1.946012e-06
1.027168994159390e-08	1.957413e-06
1.030000000000000e-08	1.970324e-06
1.030849301752183e-08	1.973000e-06
1.031981704088427e-08	1.976078e-06
1.034246508760915e-08	1.981276e-06
1.035470390655023e-08	1.983535e-06
1.037552236211784e-08	1.986069e-06
1.040000000000000e-08	1.987559e-06
1.333232598993470e-08	1.841368e-06
1.670146661493466e-08	1.693253e-06
2.058330255243458e-08	1.545592e-06
2.490459161493449e-08	1.406045e-06
2.929912286493440e-08	1.286823e-06
3.391338067743449e-08	1.182260e-06
3.867412286493461e-08	1.092808e-06
4.365459161493473e-08	1.015777e-06
4.892802911493486e-08	9.493205e-07
5.456767755243500e-08	8.921654e-07
6.064677911493514e-08	8.434084e-07
6.731181817743530e-08	8.019552e-07
7.177959161493541e-08	7.797490e-07
7.492900567743548e-08	7.663157e-07
7.500000000000000e-08	7.660318e-07
Step Information: C_q=30f  (Run: 5/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.769550e-07
1.001218984351985e-08	7.468528e-07
1.002345101247158e-08	8.913484e-07
1.003577727067044e-08	1.049205e-06
1.004793127863445e-08	1.179116e-06
1.007223929456248e-08	1.385609e-06
1.010000000000000e-08	1.577524e-06
1.010832821163126e-08	1.617878e-06
1.011943249380627e-08	1.664819e-06
1.014164105815629e-08	1.739231e-06
1.018605818685632e-08	1.844947e-06
1.022675781250000e-08	1.903870e-06
1.030000000000000e-08	1.965132e-06
1.030732421875000e-08	1.967653e-06
1.032197265625000e-08	1.972110e-06
1.035126953125000e-08	1.978199e-06
1.040000000000000e-08	1.983524e-06
1.354926757812500e-08	1.836837e-06
1.721137695312496e-08	1.686674e-06
2.138618164062487e-08	1.538840e-06
2.600043945312477e-08	1.400231e-06
3.076118164062472e-08	1.280257e-06
3.574165039062484e-08	1.175680e-06
4.094184570312496e-08	1.085446e-06
4.643500976562510e-08	1.007426e-06
