time	I(Rq)
Step Information: C_q=10f  (Run: 1/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.966536e-07
1.002859375000000e-08	8.822943e-07
1.004913926155366e-08	1.160120e-06
1.006972466069086e-08	1.415111e-06
1.007790510448623e-08	1.494348e-06
1.008363911240926e-08	1.540812e-06
1.009021425651062e-08	1.588808e-06
1.009357880122398e-08	1.610644e-06
1.010000000000000e-08	1.650370e-06
1.010449483914321e-08	1.675057e-06
1.010963179816403e-08	1.700679e-06
1.011990571620566e-08	1.744815e-06
1.014045355228892e-08	1.811520e-06
1.018154922445545e-08	1.899911e-06
1.021780865566695e-08	1.948653e-06
1.022748113757700e-08	1.956519e-06
1.024682610139711e-08	1.967260e-06
1.026131007235979e-08	1.973694e-06
1.027103205807463e-08	1.977116e-06
1.028174411988531e-08	1.980316e-06
1.028649648514533e-08	1.981495e-06
1.029283297215868e-08	1.982930e-06
1.030000000000000e-08	1.984443e-06
1.030501691948892e-08	1.985360e-06
1.031075054176197e-08	1.986301e-06
1.032221778630808e-08	1.987897e-06
1.034515227540029e-08	1.990506e-06
1.035413102181558e-08	1.991301e-06
1.037208851464614e-08	1.992172e-06
1.040000000000000e-08	1.992442e-06
1.270760086399395e-08	1.847993e-06
1.524666336399395e-08	1.707140e-06
1.817635086399397e-08	1.565346e-06
2.149666336399399e-08	1.427851e-06
2.481697586399402e-08	1.311382e-06
2.813728836399404e-08	1.212723e-06
3.165291336399403e-08	1.124654e-06
3.536385086399400e-08	1.047042e-06
3.927010086399396e-08	9.794960e-07
4.337166336399392e-08	9.214270e-07
4.766853836399388e-08	8.721022e-07
5.235603836399384e-08	8.290992e-07
5.743416336399379e-08	7.925870e-07
6.290291336399385e-08	7.623642e-07
6.915291336399400e-08	7.365685e-07
7.618416336399417e-08	7.157229e-07
8.458260086399437e-08	6.987538e-07
9.493416336399463e-08	6.856133e-07
1.088013508639950e-07	6.759183e-07
1.296997883639955e-07	6.696341e-07
1.746216633639966e-07	6.665842e-07
1.882935383639969e-07	6.664054e-07
1.998169758639972e-07	6.663255e-07
2.000000000000000e-07	6.663245e-07
Step Information: C_q=15f  (Run: 2/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.946126e-07
1.002859375000000e-08	8.683421e-07
1.004798660167621e-08	1.119736e-06
1.006595874632151e-08	1.336071e-06
1.008086536950974e-08	1.472020e-06
1.010000000000000e-08	1.613090e-06
1.010574038914708e-08	1.644778e-06
1.011339424134318e-08	1.682373e-06
1.012870194573539e-08	1.743915e-06
1.015931735451981e-08	1.829002e-06
1.022054817208864e-08	1.922984e-06
1.030000000000000e-08	1.982898e-06
1.030794518279114e-08	1.984277e-06
1.032383554837341e-08	1.986627e-06
1.035561627953795e-08	1.989535e-06
1.040000000000000e-08	1.991008e-06
1.282805493891091e-08	1.850631e-06
1.575774243891092e-08	1.700880e-06
1.907805493891094e-08	1.553920e-06
2.259367993891097e-08	1.421001e-06
2.630461743891099e-08	1.302227e-06
3.001555493891101e-08	1.202144e-06
3.392180493891098e-08	1.113759e-06
3.802336743891094e-08	1.036598e-06
4.232024243891090e-08	9.699908e-07
4.681242993891085e-08	9.131270e-07
5.169524243891081e-08	8.633232e-07
5.696867993891076e-08	8.207551e-07
6.263274243891080e-08	7.852165e-07
6.888274243891095e-08	7.554070e-07
7.610930493891113e-08	7.301202e-07
8.450774243891133e-08	7.095936e-07
9.466399243891158e-08	6.933678e-07
1.075546174389119e-07	6.811987e-07
1.257186799389123e-07	6.727006e-07
1.571639924389131e-07	6.677411e-07
1.923202424389139e-07	6.665228e-07
1.999374299389141e-07	6.664339e-07
2.000000000000000e-07	6.664333e-07
Step Information: C_q=20f  (Run: 3/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.928282e-07
1.002859375000000e-08	8.565830e-07
1.004892435857671e-08	1.105206e-06
1.006805952854766e-08	1.324954e-06
1.008023704636095e-08	1.433035e-06
1.010000000000000e-08	1.577498e-06
1.010592888609171e-08	1.610803e-06
1.011383406754733e-08	1.650496e-06
1.012964443045857e-08	1.715961e-06
1.016126515628104e-08	1.807650e-06
1.022450660792599e-08	1.912086e-06
1.030000000000000e-08	1.976590e-06
1.030754933920740e-08	1.978422e-06
1.032264801762220e-08	1.981598e-06
1.035284537445181e-08	1.985725e-06
1.040000000000000e-08	1.988647e-06
1.304082414095361e-08	1.847201e-06
1.616582414095362e-08	1.699214e-06
1.968144914095364e-08	1.554775e-06
2.358769914095367e-08	1.417848e-06
2.749394914095370e-08	1.302021e-06
3.159551164095370e-08	1.199562e-06
3.589238664095366e-08	1.109886e-06
4.038457414095362e-08	1.032213e-06
4.507207414095357e-08	9.656226e-07
5.015019914095352e-08	9.070831e-07
5.542363664095347e-08	8.583748e-07
6.128301164095348e-08	8.157163e-07
6.772832414095363e-08	7.796448e-07
7.495488664095381e-08	7.494444e-07
8.315801164095401e-08	7.247833e-07
9.292363664095425e-08	7.047619e-07
1.050330116409545e-07	6.891626e-07
1.210486366409549e-07	6.777732e-07
1.450720741409555e-07	6.703496e-07
1.923376991409567e-07	6.667676e-07
1.999548866409568e-07	6.666160e-07
2.000000000000000e-07	6.666152e-07
Step Information: C_q=25f  (Run: 4/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.912549e-07
1.002859375000000e-08	8.462218e-07
1.005009286114087e-08	1.093774e-06
1.007196307231826e-08	1.332202e-06
1.007985103128461e-08	1.402784e-06
1.008422408206728e-08	1.436583e-06
1.009125389843466e-08	1.486066e-06
1.010000000000000e-08	1.543587e-06
1.010612227109574e-08	1.578646e-06
1.011311915234802e-08	1.614729e-06
1.012711291485257e-08	1.676120e-06
1.015510043986167e-08	1.766892e-06
1.021107548987987e-08	1.875875e-06
1.030000000000000e-08	1.970975e-06
1.030889245101201e-08	1.973539e-06
1.032667735303604e-08	1.977928e-06
1.036224715708409e-08	1.983831e-06
1.040000000000000e-08	1.986891e-06
1.337221791037020e-08	1.838917e-06
1.669253041037022e-08	1.693113e-06
2.059878041037025e-08	1.544613e-06
2.489565541037028e-08	1.405943e-06
2.919253041037031e-08	1.289165e-06
3.368471791037028e-08	1.186741e-06
3.837221791037023e-08	1.097774e-06
4.325503041037019e-08	1.021230e-06
4.852846791037014e-08	9.537364e-07
5.399721791037008e-08	8.972631e-07
6.005190541037005e-08	8.475828e-07
6.649721791037020e-08	8.063788e-07
7.372378041037038e-08	7.712048e-07
8.192690541037058e-08	7.418466e-07
9.149721791037081e-08	7.178003e-07
1.030206554103711e-07	6.987573e-07
1.176690929103714e-07	6.843345e-07
1.381769054103719e-07	6.741995e-07
1.727472179103728e-07	6.682250e-07
1.916925304103732e-07	6.671615e-07
1.998956554103734e-07	6.668990e-07
2.000000000000000e-07	6.668962e-07
Step Information: C_q=30f  (Run: 5/9)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.898572e-07
1.002859375000000e-08	8.368196e-07
1.005060550049143e-08	1.078298e-06
1.007278362073172e-08	1.311109e-06
1.007925068251104e-08	1.367125e-06
1.008706587644136e-08	1.424732e-06
1.010000000000000e-08	1.512201e-06
1.010905388649105e-08	1.563139e-06
