time	V(n002)	I(Rq)
1.040000000000000e-08	1.005676e+00	1.988647e-06
1.264668023442201e-08	1.065243e+00	1.869515e-06
1.489336046884402e-08	1.120388e+00	1.759223e-06
1.714004070326602e-08	1.171114e+00	1.657772e-06
1.938672093768804e-08	1.217419e+00	1.565162e-06
2.163340117211005e-08	1.259304e+00	1.481392e-06
2.388008140653206e-08	1.296768e+00	1.406463e-06
2.612676164095406e-08	1.329813e+00	1.340375e-06
2.877743128381118e-08	1.365116e+00	1.269768e-06
3.142810092666831e-08	1.397454e+00	1.205091e-06
3.407877056952544e-08	1.426827e+00	1.146346e-06
3.672944021238257e-08	1.453234e+00	1.093532e-06
3.938010985523969e-08	1.476676e+00	1.046648e-06
4.203077949809682e-08	1.497152e+00	1.005696e-06
4.468144914095394e-08	1.514662e+00	9.706754e-07
4.786225271238252e-08	1.533410e+00	9.331792e-07
5.104305628381109e-08	1.550366e+00	8.992689e-07
5.422385985523967e-08	1.565528e+00	8.689445e-07
5.740466342666825e-08	1.578897e+00	8.422059e-07
6.058546699809683e-08	1.590473e+00	8.190532e-07
6.376627056952541e-08	1.600257e+00	7.994864e-07
6.694707414095397e-08	1.608247e+00	7.835055e-07
7.124394914095408e-08	1.617571e+00	7.648577e-07
7.554082414095418e-08	1.625810e+00	7.483804e-07
7.983769914095429e-08	1.632963e+00	7.340736e-07
8.413457414095440e-08	1.639031e+00	7.219373e-07
8.843144914095451e-08	1.644014e+00	7.119715e-07
9.272832414095461e-08	1.647912e+00	7.041762e-07
9.702519914095470e-08	1.650724e+00	6.985513e-07
1.040006455695263e-07	1.654435e+00	6.911304e-07
1.109760919980979e-07	1.657583e+00	6.848336e-07
1.179515384266695e-07	1.660169e+00	6.796612e-07
1.249269848552411e-07	1.662193e+00	6.756129e-07
1.319024312838127e-07	1.663655e+00	6.726890e-07
1.388778777123843e-07	1.664555e+00	6.708892e-07
1.458533241409559e-07	1.664893e+00	6.702138e-07
1.923376991409570e-07	1.666616e+00	6.667676e-07
1.999548866409572e-07	1.666692e+00	6.666160e-07
2.000000000000000e-07	1.666692e+00	6.666152e-07
