time	V(n002)	I(Rq)
Step Information: C_d=20f  (Run: 1/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.645532e+00	7.089366e-07
1.002859375000000e-08	1.519071e+00	9.618577e-07
1.004680874403468e-08	1.355962e+00	1.288076e-06
1.006277606791556e-08	1.236532e+00	1.526935e-06
1.007926409530509e-08	1.157858e+00	1.684284e-06
1.010000000000000e-08	1.088931e+00	1.822138e-06
1.010622077140847e-08	1.076862e+00	1.846276e-06
1.011451513328644e-08	1.063666e+00	1.872668e-06
1.013110385704237e-08	1.044712e+00	1.910577e-06
1.016428130455423e-08	1.023658e+00	1.952685e-06
1.023063619957795e-08	1.006963e+00	1.986074e-06
1.030000000000000e-08	1.002102e+00	1.995795e-06
1.032080914012661e-08	1.002063e+00	1.995873e-06
1.034855466029544e-08	1.002258e+00	1.995483e-06
1.040000000000000e-08	1.003287e+00	1.993426e-06
1.189598064013875e-08	1.073664e+00	1.852672e-06
1.365379314013874e-08	1.146915e+00	1.706170e-06
1.560691814013875e-08	1.217746e+00	1.564508e-06
1.795066814013877e-08	1.290126e+00	1.419747e-06
2.029441814013878e-08	1.350842e+00	1.298315e-06
2.283348064013880e-08	1.405628e+00	1.188744e-06
2.556785564013882e-08	1.454056e+00	1.091888e-06
2.830223064013884e-08	1.493508e+00	1.012985e-06
3.123191814013884e-08	1.527699e+00	9.446013e-07
3.455223064013881e-08	1.558373e+00	8.832531e-07
3.806785564013877e-08	1.583518e+00	8.329648e-07
4.216941814013874e-08	1.605588e+00	7.888229e-07
4.666160564013869e-08	1.623117e+00	7.537650e-07
5.213035564013864e-08	1.637841e+00	7.243187e-07
5.877098064013858e-08	1.649233e+00	7.015342e-07
6.756004314013876e-08	1.657754e+00	6.844924e-07
8.045066814013907e-08	1.663414e+00	6.731730e-07
1.056459806401397e-07	1.666363e+00	6.672739e-07
1.923647306401418e-07	1.666888e+00	6.662245e-07
1.999819181401420e-07	1.666888e+00	6.662239e-07
2.000000000000000e-07	1.666888e+00	6.662239e-07
Step Information: C_d=40f  (Run: 2/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.651673e+00	6.966536e-07
1.002859375000000e-08	1.558760e+00	8.824796e-07
1.005017400530598e-08	1.412858e+00	1.174283e-06
1.006993952319311e-08	1.292216e+00	1.415567e-06
1.008068119606207e-08	1.243828e+00	1.512343e-06
1.010000000000000e-08	1.174293e+00	1.651414e-06
1.010579564118138e-08	1.158792e+00	1.682415e-06
1.011352316275655e-08	1.140592e+00	1.718815e-06
1.012897820590689e-08	1.111300e+00	1.777400e-06
1.015988829220758e-08	1.071963e+00	1.856074e-06
