time	V(n002)	I(Rq)
Step Information: C_d=100f  (Run: 1/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.658720e+00	6.825599e-07
1.002859375000000e-08	1.606897e+00	7.862064e-07
1.005104187926338e-08	1.516845e+00	9.663108e-07
1.007341059154417e-08	1.425660e+00	1.148681e-06
1.008163489690790e-08	1.397358e+00	1.205284e-06
1.008903425951502e-08	1.373922e+00	1.252155e-06
1.010000000000000e-08	1.340889e+00	1.318223e-06
1.010767601833948e-08	1.320072e+00	1.359856e-06
1.011644861072746e-08	1.298170e+00	1.403661e-06
1.013399379550342e-08	1.259659e+00	1.480682e-06
1.016908416505534e-08	1.198490e+00	1.603020e-06
1.022981926089616e-08	1.123781e+00	1.752437e-06
1.030000000000000e-08	1.063832e+00	1.872337e-06
1.030701807391038e-08	1.060472e+00	1.879056e-06
1.032105422173115e-08	1.054282e+00	1.891437e-06
1.034912651737269e-08	1.045077e+00	1.909845e-06
1.040000000000000e-08	1.034729e+00	1.930543e-06
1.540800294055205e-08	1.109095e+00	1.781811e-06
2.107206544055210e-08	1.182719e+00	1.634562e-06
2.751737794055214e-08	1.254752e+00	1.490497e-06
3.415800294055212e-08	1.317776e+00	1.364448e-06
4.099394044055205e-08	1.372602e+00	1.254795e-06
4.802519044055198e-08	1.420027e+00	1.159947e-06
5.525175294055191e-08	1.460817e+00	1.078367e-06
6.286894044055195e-08	1.496538e+00	1.006924e-06
7.087675294055214e-08	1.527435e+00	9.451294e-07
7.927519044055235e-08	1.553838e+00	8.923247e-07
8.825956544055256e-08	1.576574e+00	8.468529e-07
9.802519044055280e-08	1.596132e+00	8.077358e-07
1.085720654405531e-07	1.612527e+00	7.749462e-07
1.202908154405533e-07	1.626328e+00	7.473433e-07
1.335720654405537e-07	1.637785e+00	7.244303e-07
1.491970654405540e-07	1.647193e+00	7.056131e-07
1.681423779405545e-07	1.654622e+00	6.907565e-07
1.917751904405551e-07	1.660093e+00	6.798141e-07
1.999783154405553e-07	1.661353e+00	6.772947e-07
2.000000000000000e-07	1.661356e+00	6.772887e-07
Step Information: C_d=200f  (Run: 2/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.662279e+00	6.754429e-07
1.002859375000000e-08	1.632083e+00	7.358331e-07
1.005530794531135e-08	1.567089e+00	8.658216e-07
1.008019903060282e-08	1.505740e+00	9.885205e-07
