time	I(Rq)
Step Information: C_d=20f  (Run: 1/181)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	7.089366e-07
1.002859375000000e-08	9.618577e-07
1.004680874403468e-08	1.288076e-06
1.006277606791556e-08	1.526935e-06
1.007926409530509e-08	1.684284e-06
1.010000000000000e-08	1.822138e-06
1.010622077140847e-08	1.846276e-06
1.011451513328644e-08	1.872668e-06
1.013110385704237e-08	1.910577e-06
1.016428130455423e-08	1.952685e-06
1.023063619957795e-08	1.986074e-06
1.030000000000000e-08	1.995795e-06
1.032080914012661e-08	1.995873e-06
1.034855466029544e-08	1.995483e-06
1.040000000000000e-08	1.993426e-06
1.189598064013875e-08	1.852672e-06
1.365379314013874e-08	1.706170e-06
1.560691814013875e-08	1.564508e-06
1.795066814013877e-08	1.419747e-06
2.029441814013878e-08	1.298315e-06
2.283348064013880e-08	1.188744e-06
2.556785564013882e-08	1.091888e-06
2.830223064013884e-08	1.012985e-06
3.123191814013884e-08	9.446013e-07
3.455223064013881e-08	8.832531e-07
3.806785564013877e-08	8.329648e-07
4.216941814013874e-08	7.888229e-07
4.666160564013869e-08	7.537650e-07
5.213035564013864e-08	7.243187e-07
5.877098064013858e-08	7.015342e-07
6.756004314013876e-08	6.844924e-07
8.045066814013907e-08	6.731730e-07
1.056459806401397e-07	6.672739e-07
1.923647306401418e-07	6.662245e-07
1.999819181401420e-07	6.662239e-07
2.000000000000000e-07	6.662239e-07
Step Information: C_d=21f  (Run: 2/181)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	7.080916e-07
1.002859375000000e-08	9.564794e-07
1.004699163243935e-08	1.280728e-06
1.006313680186858e-08	1.519289e-06
1.007978497119698e-08	1.677709e-06
1.010000000000000e-08	1.813054e-06
1.010606450864090e-08	1.837342e-06
1.011415052016211e-08	1.864137e-06
1.013032254320452e-08	1.903169e-06
1.016266658928935e-08	1.947534e-06
1.022735468145899e-08	1.983793e-06
1.030000000000000e-08	1.995745e-06
1.030726453185410e-08	1.995783e-06
1.032179359556230e-08	1.995843e-06
1.035085172297870e-08	1.995473e-06
1.040000000000000e-08	1.993592e-06
1.188150914523416e-08	1.857328e-06
1.363932164523416e-08	1.713613e-06
1.559244664523416e-08	1.574174e-06
1.793619664523418e-08	1.431127e-06
2.047525914523419e-08	1.301476e-06
2.301432164523421e-08	1.193801e-06
2.574869664523423e-08	1.098162e-06
2.867838414523425e-08	1.014844e-06
3.180338414523424e-08	9.436058e-07
3.512369664523421e-08	8.837940e-07
3.883463414523417e-08	8.320722e-07
4.293619664523413e-08	7.890847e-07
4.762369664523409e-08	7.534209e-07
5.309244664523404e-08	7.246720e-07
5.973307164523398e-08	7.021830e-07
6.852213414523419e-08	6.851295e-07
8.121744664523450e-08	6.736929e-07
1.052408841452351e-07	6.675116e-07
1.921549466452372e-07	6.662252e-07
1.999674466452374e-07	6.662242e-07
2.000000000000000e-07	6.662242e-07
Step Information: C_d=22f  (Run: 3/181)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	7.072794e-07
1.002859375000000e-08	9.512991e-07
1.004717272060715e-08	1.273610e-06
1.006349447871136e-08	1.511847e-06
1.008030111390844e-08	1.671269e-06
1.010000000000000e-08	1.803994e-06
1.010590966582747e-08	1.828368e-06
1.011378922026409e-08	1.855488e-06
1.012954832913733e-08	1.895529e-06
