time	I(Rq)
Step Information: C_q=20f  (Run: 1/4)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.797301e-07
1.001360312407939e-08	7.663027e-07
1.002473881975081e-08	9.244818e-07
1.003644222578904e-08	1.089546e-06
1.004858632503676e-08	1.229376e-06
1.007287452353219e-08	1.445720e-06
1.010000000000000e-08	1.636916e-06
1.010813764294034e-08	1.675243e-06
1.011898783352747e-08	1.719167e-06
1.014068821470172e-08	1.787138e-06
1.018408897705021e-08	1.882547e-06
1.021319847530300e-08	1.923945e-06
1.024178100349442e-08	1.950367e-06
1.024494282386265e-08	1.952451e-06
1.024915858435362e-08	1.954948e-06
1.025759010533557e-08	1.959434e-06
1.027445314729946e-08	1.966903e-06
1.030000000000000e-08	1.976318e-06
1.030766405581016e-08	1.978307e-06
1.031788279689038e-08	1.980605e-06
1.033832027905081e-08	1.984398e-06
1.035912503567913e-08	1.986838e-06
1.040000000000000e-08	1.988897e-06
1.316343113939470e-08	1.841221e-06
1.628843113939470e-08	1.693983e-06
1.990171238939467e-08	1.546586e-06
2.380796238939463e-08	1.410921e-06
2.790952488939459e-08	1.290913e-06
3.210874363939463e-08	1.188056e-06
3.650327488939473e-08	1.098503e-06
4.109311863939484e-08	1.021334e-06
4.587827488939496e-08	9.555105e-07
5.095639988939508e-08	8.989484e-07
5.642514988939522e-08	8.503382e-07
6.238218113939536e-08	8.088660e-07
6.892514988939551e-08	7.739957e-07
7.624936863939569e-08	7.449695e-07
8.474546238939590e-08	7.209433e-07
9.480405613939614e-08	7.017857e-07
9.548764988939616e-08	7.007592e-07
9.997983738939627e-08	6.947128e-07
1.000000000000000e-07	6.946882e-07
Step Information: C_q=40f  (Run: 2/4)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.768728e-07
1.001360312407939e-08	7.462606e-07
1.002619101967076e-08	8.899880e-07
1.003998185024023e-08	1.047227e-06
1.005358756412943e-08	1.179147e-06
1.007278857222160e-08	1.331772e-06
1.010000000000000e-08	1.514103e-06
1.010816342833352e-08	1.554990e-06
1.011904799944488e-08	1.603354e-06
1.014081714166760e-08	1.682135e-06
1.018435542611303e-08	1.801421e-06
1.021292343110913e-08	1.857096e-06
1.024286399000781e-08	1.894730e-06
1.030000000000000e-08	1.946016e-06
1.030571360099922e-08	1.948946e-06
1.031714080299766e-08	1.954310e-06
1.033999520699453e-08	1.963623e-06
1.035429119200625e-08	1.968485e-06
1.037140802997657e-08	1.972512e-06
1.040000000000000e-08	1.976410e-06
1.399809816114765e-08	1.828378e-06
1.809966066114763e-08	1.679918e-06
2.288481691114758e-08	1.530510e-06
2.825591066114753e-08	1.388875e-06
3.382231691114762e-08	1.266531e-06
3.958403566114776e-08	1.161664e-06
4.563872316114790e-08	1.071145e-06
5.208403566114806e-08	9.928833e-07
5.891997316114823e-08	9.263401e-07
6.634184816114841e-08	8.693473e-07
7.444731691114860e-08	8.212695e-07
8.352934816114882e-08	7.807822e-07
9.388091066114908e-08	7.473612e-07
9.583403566114912e-08	7.422486e-07
9.993559816114922e-08	7.325367e-07
1.000000000000000e-07	7.323944e-07
Step Information: C_q=60f  (Run: 3/4)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.750132e-07
1.001360312407939e-08	7.328034e-07
1.002673651492643e-08	8.585831e-07
1.004143645029709e-08	1.000804e-06
1.005616422674904e-08	1.125991e-06
1.007262978372536e-08	1.250531e-06
1.008097113024238e-08	1.304510e-06
1.008887820464398e-08	1.352003e-06
1.010000000000000e-08	1.415141e-06
1.010778525674922e-08	1.454444e-06
1.011668269303404e-08	1.495445e-06
1.013447756560367e-08	1.566619e-06
1.017006731074295e-08	1.677670e-06
1.022882050972144e-08	1.803475e-06
1.030000000000000e-08	1.905807e-06
1.030711794902786e-08	1.911187e-06
1.032135384708357e-08	1.921022e-06
1.034982564319499e-08	1.935455e-06
1.040000000000000e-08	1.950909e-06
1.485241550609556e-08	1.804058e-06
2.002819675609551e-08	1.654311e-06
2.598522800609545e-08	1.506189e-06
3.252819675609548e-08	1.368955e-06
3.936413425609564e-08	1.249466e-06
4.649304050609582e-08	1.146442e-06
5.401257175609600e-08	1.057428e-06
6.202038425609619e-08	9.806998e-07
7.061413425609640e-08	9.150140e-07
7.989147800609662e-08	8.594139e-07
9.004772800609687e-08	8.126873e-07
9.561413425609701e-08	7.920643e-07
9.991100925609711e-08	7.781529e-07
1.000000000000000e-07	7.778814e-07
Step Information: C_q=80f  (Run: 4/4)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.737066e-07
1.001360312407939e-08	7.232587e-07
1.002722711840100e-08	8.356943e-07
1.004272708412054e-08	9.659603e-07
1.005849551349918e-08	1.085099e-06
1.006846314124271e-08	1.153062e-06
1.008006474451294e-08	1.223953e-06
1.010000000000000e-08	1.336311e-06
1.011395467884094e-08	1.402434e-06
1.012990288323059e-08	1.468374e-06
1.016179929200988e-08	1.575500e-06
1.022559210956847e-08	1.730305e-06
1.030000000000000e-08	1.858694e-06
1.030744078904315e-08	1.866007e-06
1.032232236712946e-08	1.879503e-06
1.035208552330207e-08	1.899825e-06
1.040000000000000e-08	1.920338e-06
1.591962862776361e-08	1.770397e-06
2.226728487776355e-08	1.619988e-06
2.959150362776348e-08	1.471715e-06
3.730634737776366e-08	1.340390e-06
4.521650362776385e-08	1.227939e-06
5.351728487776405e-08	1.130046e-06
6.220869112776425e-08	1.045778e-06
7.138837862776448e-08	9.733405e-07
8.115400362776472e-08	9.113912e-07
9.170087862776497e-08	8.584421e-07
9.609540987776508e-08	8.399105e-07
9.990400362776517e-08	8.253012e-07
1.000000000000000e-07	8.249491e-07
