time	I(Rq)
Step Information: C_q=0f  (Run: 1/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.846830e-07
1.001360312407939e-08	8.024992e-07
1.002878909405731e-08	1.075896e-06
1.004546569129233e-08	1.336557e-06
1.006305176038991e-08	1.545927e-06
1.006482786180485e-08	1.563014e-06
1.006838006463473e-08	1.592037e-06
1.007548447029448e-08	1.644075e-06
1.008579118868049e-08	1.707917e-06
1.010000000000000e-08	1.782779e-06
1.010426264339585e-08	1.799852e-06
1.010994616792366e-08	1.820185e-06
1.012131321697927e-08	1.853682e-06
1.014404731509049e-08	1.900503e-06
1.018951551131293e-08	1.958821e-06
1.020906360755512e-08	1.972508e-06
1.024815980003948e-08	1.984279e-06
1.030000000000000e-08	1.992967e-06
1.030518401999605e-08	1.993244e-06
1.031555205998815e-08	1.993727e-06
1.033628813997236e-08	1.994471e-06
1.035852784003159e-08	1.994681e-06
1.040000000000000e-08	1.993812e-06
1.228637619590209e-08	1.851798e-06
1.453246994590211e-08	1.702367e-06
1.707153244590209e-08	1.555998e-06
1.970825119590206e-08	1.425842e-06
2.244262619590204e-08	1.310938e-06
2.527465744590201e-08	1.210220e-06
2.810668869590198e-08	1.125235e-06
3.103637619590199e-08	1.051265e-06
3.416137619590207e-08	9.854542e-07
3.738403244590215e-08	9.293456e-07
4.080200119590223e-08	8.805728e-07
4.441528244590232e-08	8.388070e-07
4.822387619590241e-08	8.035609e-07
5.242309494590251e-08	7.729819e-07
5.701293869590262e-08	7.472898e-07
6.218871994590275e-08	7.256548e-07
6.804809494590289e-08	7.080433e-07
7.498168869590306e-08	6.938144e-07
8.357543869590327e-08	6.827014e-07
9.500121994590355e-08	6.745269e-07
9.568481369590356e-08	6.741933e-07
9.998168869590367e-08	6.723824e-07
1.000000000000000e-07	6.723757e-07
Step Information: C_q=1f  (Run: 2/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.843507e-07
1.001360312407939e-08	8.002179e-07
1.002896250508943e-08	1.072489e-06
1.004572507776504e-08	1.330848e-06
1.006356920225163e-08	1.541876e-06
1.006876704367784e-08	1.585919e-06
1.007470743387923e-08	1.629382e-06
1.008658821428200e-08	1.703445e-06
1.010000000000000e-08	1.774955e-06
1.010402353571540e-08	1.791411e-06
1.010938825000260e-08	1.811168e-06
1.012011767857700e-08	1.844151e-06
1.014157653572580e-08	1.891331e-06
1.018449425002340e-08	1.950049e-06
1.021416457140479e-08	1.972514e-06
1.024065935723722e-08	1.983034e-06
1.024701042833515e-08	1.984707e-06
1.025971257053100e-08	1.987120e-06
1.027459571560829e-08	1.989283e-06
1.030000000000000e-08	1.992102e-06
1.030762128531751e-08	1.992625e-06
1.031778299907420e-08	1.993202e-06
1.033810642658756e-08	1.994090e-06
1.035935314497327e-08	1.994406e-06
1.040000000000000e-08	1.993698e-06
1.238147400058288e-08	1.847703e-06
1.462756775058290e-08	1.701520e-06
1.726428650058287e-08	1.552823e-06
1.999866150058285e-08	1.421135e-06
2.283069275058282e-08	1.305326e-06
2.566272400058279e-08	1.207284e-06
2.859241150058276e-08	1.121658e-06
3.161975525058280e-08	1.047388e-06
3.474475525058287e-08	9.834033e-07
3.806506775058296e-08	9.271452e-07
4.158069275058304e-08	8.784145e-07
4.529163025058313e-08	8.368143e-07
4.929553650058323e-08	8.010273e-07
5.359241150058333e-08	7.709284e-07
5.837756775058345e-08	7.452479e-07
6.374866150058358e-08	7.238459e-07
6.990100525058373e-08	7.063535e-07
7.722522400058391e-08	6.923102e-07
8.630725525058413e-08	6.815158e-07
9.509631775058434e-08	6.753437e-07
9.997913025058446e-08	6.730672e-07
1.000000000000000e-07	6.730588e-07
Step Information: C_q=2f  (Run: 3/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.840301e-07
1.001360312407939e-08	7.980139e-07
1.002913432246872e-08	1.069169e-06
1.004598203453888e-08	1.325279e-06
1.006408312316852e-08	1.512768e-06
1.010000000000000e-08	1.773307e-06
1.010359168768315e-08	1.787409e-06
1.011077506304944e-08	1.813043e-06
1.012514181378203e-08	1.853993e-06
1.015387531524721e-08	1.907675e-06
1.021134231817758e-08	1.960915e-06
1.030000000000000e-08	1.994250e-06
1.030886576818224e-08	1.994494e-06
1.032659730454673e-08	1.994889e-06
1.036206037727570e-08	1.995041e-06
1.040000000000000e-08	1.994224e-06
1.237308158044535e-08	1.851396e-06
1.471683158044537e-08	1.701549e-06
1.735355033044535e-08	1.555496e-06
2.018558158044532e-08	1.421490e-06
2.301761283044529e-08	1.307678e-06
2.594730033044526e-08	1.207957e-06
2.897464408044524e-08	1.121168e-06
3.209964408044528e-08	1.046138e-06
3.532230033044536e-08	9.817005e-07
3.874026908044544e-08	9.252576e-07
4.235355033044553e-08	8.765307e-07
4.616214408044562e-08	8.350573e-07
5.026370658044572e-08	7.994917e-07
5.475589408044583e-08	7.690747e-07
5.963870658044595e-08	7.438318e-07
6.520511283044609e-08	7.225203e-07
7.165042533044624e-08	7.050426e-07
7.926761283044643e-08	6.912416e-07
8.883792533044666e-08	6.806293e-07
9.635745658044684e-08	6.755600e-07
9.997073783044693e-08	6.738036e-07
1.000000000000000e-07	6.737908e-07
Step Information: C_q=3f  (Run: 4/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.837206e-07
1.001360312407939e-08	7.958831e-07
1.002930458585010e-08	1.065933e-06
1.004623662912643e-08	1.319845e-06
1.006459361058649e-08	1.508459e-06
1.010000000000000e-08	1.765113e-06
1.010354063894135e-08	1.779295e-06
1.011062191682405e-08	1.805147e-06
1.012478447258946e-08	1.846718e-06
1.015310958412026e-08	1.901852e-06
1.020975980718187e-08	1.957337e-06
1.030000000000000e-08	1.994002e-06
1.030902401928181e-08	1.994280e-06
1.032707205784544e-08	1.994730e-06
1.036316813497269e-08	1.994964e-06
1.040000000000000e-08	1.994235e-06
1.246730378158468e-08	1.847637e-06
1.481105378158470e-08	1.700902e-06
1.754542878158467e-08	1.552581e-06
2.037746003158464e-08	1.421338e-06
2.330714753158462e-08	1.305984e-06
2.633449128158459e-08	1.205264e-06
2.945949128158456e-08	1.117898e-06
3.268214753158462e-08	1.042607e-06
3.600246003158470e-08	9.781373e-07
3.951808503158479e-08	9.218697e-07
4.322902253158488e-08	8.734496e-07
4.713527253158497e-08	8.323541e-07
5.133449128158507e-08	7.972187e-07
5.592433503158519e-08	7.672560e-07
6.100246003158531e-08	7.420232e-07
6.676417878158545e-08	7.209345e-07
7.340480378158561e-08	7.037970e-07
8.141261628158581e-08	6.901065e-07
9.156886628158605e-08	6.796665e-07
9.635402253158617e-08	6.764776e-07
9.996730378158626e-08	6.745814e-07
1.000000000000000e-07	6.745659e-07
Step Information: C_q=4f  (Run: 5/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.834217e-07
1.001360312407939e-08	7.938221e-07
1.002947333333902e-08	1.062777e-06
1.004648892582722e-08	1.314541e-06
1.006510074813923e-08	1.504247e-06
1.010000000000000e-08	1.756990e-06
1.010348992518608e-08	1.771230e-06
1.011046977555823e-08	1.797263e-06
1.012442947630254e-08	1.839392e-06
1.015234887779116e-08	1.895900e-06
1.020818768076839e-08	1.953571e-06
1.030000000000000e-08	1.993734e-06
1.030918123192316e-08	1.994048e-06
1.032754369576948e-08	1.994558e-06
1.036426862346213e-08	1.994881e-06
1.040000000000000e-08	1.994237e-06
1.246389226726742e-08	1.850425e-06
1.490529851726743e-08	1.700270e-06
1.763967351726741e-08	1.554582e-06
2.056936101726738e-08	1.421187e-06
2.359670476726735e-08	1.304351e-06
2.662404851726732e-08	1.205597e-06
2.974904851726729e-08	1.119659e-06
3.297170476726737e-08	1.045353e-06
3.638967351726745e-08	9.798026e-07
4.000295476726754e-08	9.227879e-07
4.381154851726763e-08	8.738749e-07
4.781545476726773e-08	8.324737e-07
5.211232976726783e-08	7.971789e-07
5.679982976726795e-08	7.671634e-07
6.207326726726807e-08	7.415364e-07
6.803029851726821e-08	7.203222e-07
7.496389226726838e-08	7.030322e-07
8.326467351726858e-08	6.894368e-07
9.390920476726884e-08	6.790760e-07
9.635061101726890e-08	6.774462e-07
9.996389226726899e-08	6.754056e-07
1.000000000000000e-07	6.753872e-07
Step Information: C_q=5f  (Run: 6/101)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000453437469313e-08	6.831328e-07
1.001360312407939e-08	7.918273e-07
1.002964060157302e-08	1.059698e-06
1.004673898594864e-08	1.309360e-06
1.006560461589278e-08	1.500128e-06
1.010000000000000e-08	1.748938e-06
1.010343953841072e-08	1.763219e-06
1.011031861523217e-08	1.789396e-06
1.012407676887505e-08	1.832022e-06
1.015159307616083e-08	1.889823e-06
1.020662569073238e-08	1.949616e-06
1.030000000000000e-08	1.993443e-06
1.030933743092676e-08	1.993798e-06
1.032801229278029e-08	1.994372e-06
1.036536201648733e-08	1.994790e-06
1.040000000000000e-08	1.994230e-06
1.255815899888927e-08	1.846805e-06
1.499956524888929e-08	1.699653e-06
1.783159649888926e-08	1.551779e-06
2.076128399888923e-08	1.421034e-06
2.378862774888920e-08	1.306175e-06
2.691362774888917e-08	1.205913e-06
3.013628399888915e-08	1.118942e-06
3.345659649888923e-08	1.043970e-06
3.697222149888932e-08	9.780742e-07
4.058550274888941e-08	9.223064e-07
4.449175274888950e-08	8.731788e-07
4.859331524888960e-08	8.317042e-07
5.308550274888971e-08	7.957527e-07
5.796831524888983e-08	7.654751e-07
6.333940899888996e-08	7.402767e-07
6.949175274889011e-08	7.191715e-07
7.662065899889028e-08	7.021180e-07
8.531206524889049e-08	6.885697e-07
