time	I(Rq)
Step Information: R_q=50k  (Run: 1/4)
0.000000000000000e+00	9.514757e-07
1.000000000000000e-08	9.514757e-07
1.000453437469313e-08	1.144170e-06
1.001360312407939e-08	2.372876e-06
1.002399420328121e-08	4.492553e-06
1.003329226765200e-08	6.413062e-06
1.004341323289961e-08	8.165829e-06
1.006365516339482e-08	1.088806e-05
1.010000000000000e-08	1.471604e-05
1.011090345098155e-08	1.540696e-05
1.012544138562363e-08	1.615970e-05
1.015451725490777e-08	1.723490e-05
1.021266899347607e-08	1.868475e-05
1.022008455439605e-08	1.880500e-05
1.023491567623600e-08	1.895131e-05
1.026457791991591e-08	1.917011e-05
1.030000000000000e-08	1.936348e-05
1.031062662402523e-08	1.939721e-05
1.032479545605886e-08	1.943413e-05
1.035313312012613e-08	1.946038e-05
1.040000000000000e-08	1.940431e-05
1.074059982760899e-08	1.761551e-05
1.113122482760899e-08	1.577274e-05
1.152184982760900e-08	1.413374e-05
1.201013107760900e-08	1.233747e-05
1.249841232760900e-08	1.078598e-05
1.298669357760901e-08	9.445889e-06
1.347497482760901e-08	8.288408e-06
1.396325607760901e-08	7.288650e-06
1.445153732760902e-08	6.425122e-06
1.493981857760902e-08	5.679262e-06
1.542809982760902e-08	5.035036e-06
1.591638107760901e-08	4.478594e-06
1.640466232760901e-08	3.997976e-06
1.689294357760900e-08	3.582848e-06
1.738122482760900e-08	3.224287e-06
1.786950607760899e-08	2.914585e-06
1.835778732760899e-08	2.647085e-06
1.884606857760898e-08	2.416034e-06
1.933434982760898e-08	2.216468e-06
1.982263107760897e-08	2.044095e-06
2.031091232760897e-08	1.895211e-06
2.089684982760896e-08	1.743079e-06
2.148278732760896e-08	1.615471e-06
2.206872482760895e-08	1.508433e-06
2.265466232760895e-08	1.418651e-06
2.333825607760894e-08	1.332027e-06
2.402184982760893e-08	1.261465e-06
2.480309982760893e-08	1.196696e-06
2.568200607760892e-08	1.139859e-06
2.656091232760891e-08	1.096196e-06
2.763513107760890e-08	1.056325e-06
2.880700607760889e-08	1.025246e-06
3.027184982760889e-08	9.990119e-07
3.212731857760893e-08	9.787199e-07
3.466638107760900e-08	9.641948e-07
3.867028732760909e-08	9.553020e-07
4.960778732760936e-08	9.516195e-07
9.599450607761048e-08	9.514757e-07
9.999841232761058e-08	9.514757e-07
1.000000000000000e-07	9.514757e-07
Step Information: R_q=100k  (Run: 2/4)
0.000000000000000e+00	9.082660e-07
1.000000000000000e-08	9.082660e-07
1.000453437469313e-08	1.000293e-06
1.001360312407939e-08	1.587642e-06
1.002408587995001e-08	2.609129e-06
1.003359124587994e-08	3.545857e-06
1.004391686906135e-08	4.397911e-06
1.006456811542417e-08	5.723260e-06
1.010000000000000e-08	7.509330e-06
1.011062956537275e-08	7.836687e-06
1.012480231920308e-08	8.195644e-06
1.015314782686374e-08	8.713571e-06
1.020983884218507e-08	9.420379e-06
1.021762821585725e-08	9.484270e-06
