time	I(Rq)
Step Information: R_q=50K  (Run: 1/96)
0.000000000000000e+00	9.514757e-07
1.000000000000000e-08	9.514757e-07
1.000453437469313e-08	1.144170e-06
1.001360312407939e-08	2.372876e-06
1.002399420328121e-08	4.492553e-06
1.003329226765200e-08	6.413062e-06
1.004341323289961e-08	8.165829e-06
1.006365516339482e-08	1.088806e-05
1.010000000000000e-08	1.471604e-05
1.011090345098155e-08	1.540696e-05
1.012544138562363e-08	1.615970e-05
1.015451725490777e-08	1.723490e-05
1.021266899347607e-08	1.868475e-05
1.022008455439605e-08	1.880500e-05
1.023491567623600e-08	1.895131e-05
1.026457791991591e-08	1.917011e-05
1.030000000000000e-08	1.936348e-05
1.031062662402523e-08	1.939721e-05
1.032479545605886e-08	1.943413e-05
1.035313312012613e-08	1.946038e-05
1.040000000000000e-08	1.940431e-05
1.074059982760899e-08	1.761551e-05
1.113122482760899e-08	1.577274e-05
1.152184982760900e-08	1.413374e-05
1.201013107760900e-08	1.233747e-05
1.249841232760900e-08	1.078598e-05
1.298669357760901e-08	9.445889e-06
1.347497482760901e-08	8.288408e-06
1.396325607760901e-08	7.288650e-06
1.445153732760902e-08	6.425122e-06
1.493981857760902e-08	5.679262e-06
1.542809982760902e-08	5.035036e-06
1.591638107760901e-08	4.478594e-06
1.640466232760901e-08	3.997976e-06
1.689294357760900e-08	3.582848e-06
1.738122482760900e-08	3.224287e-06
1.786950607760899e-08	2.914585e-06
1.835778732760899e-08	2.647085e-06
1.884606857760898e-08	2.416034e-06
1.933434982760898e-08	2.216468e-06
1.982263107760897e-08	2.044095e-06
2.031091232760897e-08	1.895211e-06
2.089684982760896e-08	1.743079e-06
2.148278732760896e-08	1.615471e-06
2.206872482760895e-08	1.508433e-06
2.265466232760895e-08	1.418651e-06
2.333825607760894e-08	1.332027e-06
2.402184982760893e-08	1.261465e-06
2.480309982760893e-08	1.196696e-06
2.568200607760892e-08	1.139859e-06
2.656091232760891e-08	1.096196e-06
2.763513107760890e-08	1.056325e-06
2.880700607760889e-08	1.025246e-06
3.027184982760889e-08	9.990119e-07
3.212731857760893e-08	9.787199e-07
3.466638107760900e-08	9.641948e-07
3.867028732760909e-08	9.553020e-07
4.960778732760936e-08	9.516195e-07
9.599450607761048e-08	9.514757e-07
9.999841232761058e-08	9.514757e-07
1.000000000000000e-07	9.514757e-07
Step Information: R_q=60K  (Run: 2/96)
0.000000000000000e+00	9.425079e-07
1.000000000000000e-08	9.425079e-07
1.000453437469313e-08	1.101605e-06
1.001360312407939e-08	2.116320e-06
1.002401377450466e-08	3.870011e-06
1.003335401303394e-08	5.462935e-06
1.004351670549368e-08	6.916047e-06
1.006384209041315e-08	9.174249e-06
1.010000000000000e-08	1.232327e-05
1.011084737287605e-08	1.289385e-05
1.012531053671079e-08	1.351646e-05
1.015423686438027e-08	1.440795e-05
1.021208951971923e-08	1.561373e-05
1.021955508317021e-08	1.571525e-05
1.023448621007216e-08	1.583921e-05
1.026434846387605e-08	1.602441e-05
1.030000000000000e-08	1.618788e-05
1.031069546083718e-08	1.621633e-05
1.032495607528676e-08	1.624746e-05
1.035347730418592e-08	1.627315e-05
1.040000000000000e-08	1.624135e-05
1.073953285702365e-08	1.498714e-05
1.113015785702365e-08	1.366860e-05
1.161843910702366e-08	1.219312e-05
1.210672035702366e-08	1.088870e-05
1.259500160702367e-08	9.735524e-06
1.308328285702367e-08	8.716048e-06
1.357156410702367e-08	7.814770e-06
1.405984535702368e-08	7.017989e-06
1.454812660702368e-08	6.313589e-06
1.513406410702368e-08	5.575258e-06
1.572000160702367e-08	4.938420e-06
1.630593910702367e-08	4.389125e-06
1.689187660702366e-08	3.915339e-06
1.747781410702366e-08	3.506681e-06
1.806375160702365e-08	3.154199e-06
1.864968910702365e-08	2.850171e-06
1.923562660702364e-08	2.587936e-06
1.982156410702364e-08	2.361748e-06
2.040750160702363e-08	2.166654e-06
2.109109535702362e-08	1.972672e-06
2.177468910702362e-08	1.809429e-06
2.245828285702361e-08	1.672055e-06
2.314187660702360e-08	1.556449e-06
2.392312660702360e-08	1.446584e-06
2.470437660702359e-08	1.356379e-06
2.548562660702358e-08	1.282317e-06
2.636453285702357e-08	1.214716e-06
2.734109535702356e-08	1.155254e-06
2.841531410702355e-08	1.104734e-06
2.958718910702354e-08	1.063199e-06
3.095437660702357e-08	1.027979e-06
3.251687660702361e-08	1.000126e-06
3.447000160702365e-08	9.777033e-07
3.700906410702372e-08	9.610512e-07
4.072000160702381e-08	9.497764e-07
4.784890785702398e-08	9.437104e-07
9.589578285702515e-08	9.425079e-07
9.999734535702525e-08	9.425079e-07
1.000000000000000e-07	9.425079e-07
Step Information: R_q=70K  (Run: 3/96)
0.000000000000000e+00	9.337077e-07
1.000000000000000e-08	9.337077e-07
1.000453437469313e-08	1.068823e-06
1.001360312407939e-08	1.930753e-06
1.002403246693981e-08	3.422891e-06
1.003341442052286e-08	4.781569e-06
1.004361834331795e-08	6.020234e-06
1.006402618890812e-08	7.945927e-06
1.010000000000000e-08	1.060861e-05
1.011079214332756e-08	1.109266e-05
1.012518166776432e-08	1.162158e-05
1.015396071663782e-08	1.238053e-05
1.021151881438483e-08	1.340971e-05
1.021905248694407e-08	1.349783e-05
1.023411983206256e-08	1.360567e-05
1.026425452229953e-08	1.376659e-05
1.030000000000000e-08	1.390753e-05
1.031072364331014e-08	1.393203e-05
1.032502183439033e-08	1.395884e-05
1.035361821655071e-08	1.398309e-05
1.040000000000000e-08	1.396477e-05
1.083675227869280e-08	1.278078e-05
1.132503352869280e-08	1.158264e-05
1.191097102869280e-08	1.030371e-05
1.249690852869281e-08	9.178380e-06
1.308284602869281e-08	8.188201e-06
1.366878352869282e-08	7.316942e-06
1.425472102869282e-08	6.550320e-06
1.493831477869283e-08	5.771499e-06
1.562190852869282e-08	5.100672e-06
1.630550227869281e-08	4.522865e-06
1.698909602869281e-08	4.025178e-06
1.767268977869280e-08	3.596503e-06
1.835628352869279e-08	3.227270e-06
1.903987727869279e-08	2.909235e-06
1.972347102869278e-08	2.635301e-06
2.040706477869277e-08	2.399352e-06
2.109065852869277e-08	2.196120e-06
2.177425227869276e-08	2.021069e-06
2.255550227869275e-08	1.850530e-06
2.333675227869275e-08	1.706739e-06
2.411800227869274e-08	1.585499e-06
2.499690852869273e-08	1.471679e-06
2.587581477869272e-08	1.377735e-06
2.685237727869271e-08	1.292464e-06
2.782893977869270e-08	1.223568e-06
2.890315852869269e-08	1.162962e-06
3.007503352869269e-08	1.111202e-06
3.134456477869272e-08	1.068229e-06
3.280940852869276e-08	1.031403e-06
3.456722102869280e-08	1.000262e-06
3.661800227869285e-08	9.762375e-07
3.925472102869291e-08	9.576214e-07
4.296565852869300e-08	9.443424e-07
4.921565852869316e-08	9.364243e-07
7.216487727869371e-08	9.337258e-07
9.589534602869428e-08	9.337078e-07
9.999690852869438e-08	9.337077e-07
1.000000000000000e-07	9.337077e-07
Step Information: R_q=80K  (Run: 4/96)
0.000000000000000e+00	9.250703e-07
1.000000000000000e-08	9.250703e-07
1.000453437469313e-08	1.042215e-06
1.001360312407939e-08	1.789640e-06
1.002405060670974e-08	3.085607e-06
1.003347394352039e-08	4.268496e-06
1.004371872289226e-08	5.346143e-06
1.006420828163601e-08	7.021938e-06
1.010000000000000e-08	9.319378e-06
1.011073751550920e-08	9.738267e-06
1.012505420285479e-08	1.019655e-05
1.015368757754598e-08	1.085543e-05
1.021095432692836e-08	1.175096e-05
1.021856710438137e-08	1.182900e-05
1.023379265928740e-08	1.192467e-05
1.026424376909944e-08	1.206723e-05
1.030000000000000e-08	1.219063e-05
1.031072686927017e-08	1.221207e-05
1.032502936163039e-08	1.223553e-05
1.035363434635083e-08	1.225812e-05
1.040000000000000e-08	1.224787e-05
1.093435852631242e-08	1.114007e-05
1.152029602631242e-08	1.004863e-05
1.220388977631243e-08	8.921778e-06
1.288748352631243e-08	7.934104e-06
1.357107727631244e-08	7.068418e-06
1.425467102631244e-08	6.309652e-06
1.493826477631245e-08	5.644602e-06
1.562185852631244e-08	5.061692e-06
1.630545227631243e-08	4.550778e-06
1.708670227631242e-08	4.043678e-06
1.786795227631242e-08	3.607501e-06
1.864920227631241e-08	3.232330e-06
1.943045227631240e-08	2.909631e-06
2.021170227631239e-08	2.632065e-06
2.099295227631239e-08	2.393321e-06
2.177420227631238e-08	2.187968e-06
2.265310852631237e-08	1.991070e-06
2.353201477631236e-08	1.824870e-06
2.441092102631235e-08	1.684583e-06
2.528982727631235e-08	1.566167e-06
2.626638977631234e-08	1.456118e-06
2.724295227631233e-08	1.364960e-06
2.831717102631232e-08	1.282651e-06
2.948904602631231e-08	1.210321e-06
3.075857727631232e-08	1.148376e-06
3.212576477631236e-08	1.096621e-06
3.359060852631239e-08	1.054403e-06
3.525076477631243e-08	1.018970e-06
3.720388977631248e-08	9.894997e-07
3.964529602631254e-08	9.653056e-07
4.277029602631262e-08	9.470934e-07
4.716482727631272e-08	9.345071e-07
5.478201477631291e-08	9.272422e-07
9.345388977631384e-08	9.250715e-07
9.589529602631390e-08	9.250710e-07
9.999685852631400e-08	9.250706e-07
1.000000000000000e-07	9.250706e-07
Step Information: R_q=90K  (Run: 5/96)
0.000000000000000e+00	9.165911e-07
1.000000000000000e-08	9.165911e-07
1.000453437469313e-08	1.019774e-06
1.001360312407939e-08	1.678223e-06
1.002406837490759e-08	2.821661e-06
1.003353283465926e-08	3.867793e-06
1.004381816654102e-08	4.820125e-06
1.006438883030455e-08	6.301298e-06
1.010000000000000e-08	8.314581e-06
1.011068335090863e-08	8.682653e-06
1.012492781878682e-08	9.085808e-06
1.015341675454318e-08	9.666494e-06
1.021039462605590e-08	1.045739e-05
1.021809346078041e-08	1.052758e-05
1.023349113022942e-08	1.061374e-05
1.026428646912744e-08	1.074191e-05
1.030000000000000e-08	1.085130e-05
1.031071405926177e-08	1.087030e-05
1.032499947161079e-08	1.089110e-05
1.035357029630884e-08	1.091206e-05
1.040000000000000e-08	1.090689e-05
1.093455708144258e-08	1.002506e-05
1.161815083144259e-08	9.009104e-06
1.239940083144259e-08	7.986013e-06
1.318065083144260e-08	7.092264e-06
1.396190083144261e-08	6.311508e-06
1.474315083144261e-08	5.629458e-06
1.552440083144261e-08	5.033636e-06
