time	I(Rq)
Step Information: R_d=100  (Run: 1/4)
0.000000000000000e+00	6.666227e-07
1.000000000000000e-08	6.666227e-07
1.000637876426422e-08	6.666227e-07
1.000963308713396e-08	7.245484e-07
1.001222595325298e-08	9.105908e-07
1.001483534434830e-08	1.204796e-06
1.001695142439755e-08	1.415124e-06
1.001945261165617e-08	1.580198e-06
1.002445498617343e-08	1.779584e-06
1.003066275654761e-08	1.905932e-06
1.003875061195209e-08	1.969339e-06
1.004838140318016e-08	1.991964e-06
1.006291203530236e-08	1.998714e-06
1.007800026339575e-08	1.999618e-06
1.010000000000000e-08	1.999600e-06
1.013299960490638e-08	1.999600e-06
1.030000000000000e-08	1.999600e-06
1.032111974714008e-08	1.999600e-06
1.034927940999352e-08	1.999341e-06
1.040000000000000e-08	1.998153e-06
1.309629632902010e-08	1.852854e-06
1.622129632902010e-08	1.704167e-06
1.983457757902006e-08	1.555325e-06
2.374082757902002e-08	1.418337e-06
2.774473382901999e-08	1.299810e-06
3.194395257902002e-08	1.195526e-06
3.633848382902013e-08	1.104734e-06
4.092832757902024e-08	1.026503e-06
4.571348382902035e-08	9.597775e-07
5.079160882902048e-08	9.024438e-07
5.626035882902061e-08	8.531740e-07
6.221739007902075e-08	8.111419e-07
6.876035882902091e-08	7.758039e-07
7.608457757902109e-08	7.463908e-07
8.448301507902130e-08	7.222793e-07
9.444395257902154e-08	7.029408e-07
9.532285882902156e-08	7.015983e-07
9.991270257902167e-08	6.953529e-07
1.000000000000000e-07	6.952455e-07
Step Information: R_d=500  (Run: 2/4)
0.000000000000000e+00	6.664450e-07
1.000000000000000e-08	6.664450e-07
1.000212625475474e-08	6.664450e-07
1.000637876426422e-08	6.877719e-07
1.001199728479794e-08	7.861798e-07
1.001735513877040e-08	9.341663e-07
1.002312518032557e-08	1.095114e-06
1.002963850242210e-08	1.242656e-06
1.004266514661516e-08	1.456385e-06
1.006871843500127e-08	1.758310e-06
1.007218883572943e-08	1.785900e-06
1.007912963718573e-08	1.823279e-06
1.008611839708739e-08	1.853838e-06
1.010000000000000e-08	1.903325e-06
1.010416448087378e-08	1.913637e-06
1.010971712203883e-08	1.925418e-06
1.012082240436892e-08	1.943555e-06
1.014303296902910e-08	1.966152e-06
1.018745409834946e-08	1.989330e-06
1.021115774135927e-08	1.994462e-06
1.025259271398038e-08	1.996794e-06
1.030000000000000e-08	1.997855e-06
1.030474072860196e-08	1.997872e-06
1.031422218580589e-08	1.997900e-06
1.033318510021373e-08	1.997939e-06
1.036207417118430e-08	1.997738e-06
1.040000000000000e-08	1.996910e-06
1.315428881932867e-08	1.848804e-06
1.627928881932867e-08	1.700621e-06
1.989257006932864e-08	1.552280e-06
2.379882006932860e-08	1.415751e-06
2.780272631932856e-08	1.297618e-06
3.200194506932860e-08	1.193678e-06
3.639647631932870e-08	1.103185e-06
4.098632006932882e-08	1.025208e-06
4.577147631932893e-08	9.586972e-07
5.084960131932906e-08	9.015470e-07
5.631835131932919e-08	8.524331e-07
6.227538256932933e-08	8.105329e-07
6.881835131932949e-08	7.753043e-07
7.614257006932967e-08	7.459813e-07
8.454100756932987e-08	7.219426e-07
9.459960131933012e-08	7.025102e-07
9.508788256933013e-08	7.017634e-07
9.997069506933025e-08	6.950955e-07
1.000000000000000e-07	6.950596e-07
Step Information: R_d=1k  (Run: 3/4)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000212625475474e-08	6.662229e-07
1.000637876426422e-08	6.789387e-07
