time	I(Rq)
Step Information: V_bias=1  (Run: 1/5)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-4.884981e-21
1.010000000000000e-08	-1.480593e-18
1.030000000000000e-08	1.224576e-18
1.040000000000000e-08	-7.771561e-19
1.928957693750031e-07	-1.483258e-19
1.999270193750032e-07	-1.483258e-19
2.000000000000000e-07	-1.483258e-19
Step Information: V_bias=2  (Run: 2/5)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000953125000000e-08	6.928282e-07
1.002859375000000e-08	8.565830e-07
1.004892435857671e-08	1.105206e-06
1.006805952854762e-08	1.324954e-06
1.008023704636094e-08	1.433035e-06
1.010000000000000e-08	1.577498e-06
1.010592888609172e-08	1.610803e-06
1.011383406754734e-08	1.650496e-06
1.012964443045859e-08	1.715961e-06
1.016126515628108e-08	1.807650e-06
1.022450660792607e-08	1.912086e-06
1.030000000000000e-08	1.976590e-06
1.030754933920739e-08	1.978422e-06
1.032264801762218e-08	1.981598e-06
1.035284537445175e-08	1.985725e-06
1.040000000000000e-08	1.988647e-06
1.304082414095398e-08	1.847201e-06
1.616582414095398e-08	1.699214e-06
1.968144914095401e-08	1.554775e-06
2.358769914095404e-08	1.417848e-06
2.749394914095407e-08	1.302021e-06
3.159551164095407e-08	1.199562e-06
3.589238664095403e-08	1.109886e-06
4.038457414095398e-08	1.032213e-06
4.507207414095394e-08	9.656226e-07
5.015019914095389e-08	9.070831e-07
5.542363664095384e-08	8.583748e-07
6.128301164095384e-08	8.157163e-07
6.772832414095399e-08	7.796448e-07
7.495488664095417e-08	7.494444e-07
8.315801164095437e-08	7.247833e-07
9.292363664095460e-08	7.047619e-07
1.050330116409549e-07	6.891626e-07
1.210486366409553e-07	6.777732e-07
1.450720741409559e-07	6.703496e-07
1.921423866409570e-07	6.667722e-07
1.999548866409572e-07	6.666160e-07
2.000000000000000e-07	6.666152e-07
Step Information: V_bias=3  (Run: 3/5)
0.000000000000000e+00	1.332446e-06
1.000000000000000e-08	1.332446e-06
1.000953125000000e-08	1.385656e-06
1.002859375000000e-08	1.713507e-06
1.004956769574226e-08	2.221779e-06
1.007110755723426e-08	2.710048e-06
1.008128940507622e-08	2.896568e-06
1.008624870735662e-08	2.970593e-06
1.009286111039714e-08	3.061671e-06
1.010000000000000e-08	3.154134e-06
1.010499722272200e-08	3.211296e-06
1.011070833440428e-08	3.270882e-06
1.012213055776886e-08	3.374200e-06
1.014497500449800e-08	3.532183e-06
1.019066389795628e-08	3.748443e-06
1.022448081550990e-08	3.853903e-06
1.023236616489277e-08	3.869991e-06
1.024813686365851e-08	3.893766e-06
1.026845860246852e-08	3.917619e-06
1.030000000000000e-08	3.946448e-06
1.030946241925944e-08	3.952027e-06
1.032207897827204e-08	3.958276e-06
1.034731209629722e-08	3.968868e-06
1.034953376394963e-08	3.969658e-06
1.035397709925445e-08	3.971005e-06
1.036286376986408e-08	3.973413e-06
1.038063711108336e-08	3.976846e-06
1.040000000000000e-08	3.978604e-06
1.240372118924135e-08	3.760962e-06
1.455215868924134e-08	3.547407e-06
1.709122118924136e-08	3.319103e-06
2.002090868924138e-08	3.084758e-06
2.334122118924141e-08	2.852405e-06
2.705215868924143e-08	2.628981e-06
3.076309618924145e-08	2.438399e-06
3.447403368924141e-08	2.275831e-06
3.838028368924137e-08	2.130454e-06
4.228653368924134e-08	2.007479e-06
4.638809618924130e-08	1.898698e-06
5.068497118924126e-08	1.803488e-06
5.517715868924121e-08	1.721021e-06
5.986465868924118e-08	1.650322e-06
6.474747118924130e-08	1.590318e-06
7.002090868924143e-08	1.538170e-06
7.568497118924157e-08	1.493843e-06
8.193497118924172e-08	1.455928e-06
8.877090868924188e-08	1.424578e-06
9.658340868924207e-08	1.398371e-06
1.057630961892423e-07	1.376934e-06
1.168959086892426e-07	1.360058e-06
1.313490336892429e-07	1.347311e-06
1.518568461892434e-07	1.338620e-06
1.887709086892443e-07	1.333716e-06
1.891615336892443e-07	1.333695e-06
1.999037211892446e-07	1.333234e-06
2.000000000000000e-07	1.333231e-06
Step Information: V_bias=4  (Run: 4/5)
0.000000000000000e+00	1.998669e-06
1.000000000000000e-08	1.998669e-06
1.000953125000000e-08	2.078485e-06
1.002859375000000e-08	2.570261e-06
1.004956769574226e-08	3.332668e-06
1.007110755723425e-08	4.065073e-06
1.008128940507626e-08	4.344853e-06
1.008624870735710e-08	4.455890e-06
1.009286111039823e-08	4.592506e-06
1.010000000000000e-08	4.731201e-06
1.010499722272124e-08	4.816943e-06
1.011070833440266e-08	4.906322e-06
1.012213055776549e-08	5.061299e-06
1.014497500449116e-08	5.298275e-06
1.019066389794250e-08	5.614813e-06
1.023558593767806e-08	5.791032e-06
1.030000000000000e-08	5.924795e-06
1.030644140623219e-08	5.929982e-06
1.031932421869658e-08	5.939145e-06
1.034508984362535e-08	5.954711e-06
1.034846875014245e-08	5.956416e-06
1.035522656317664e-08	5.959237e-06
1.036874218924502e-08	5.964346e-06
1.037296874786324e-08	5.965766e-06
1.038309376552711e-08	5.968800e-06
1.038643756638195e-08	5.969456e-06
1.039312516809164e-08	5.969645e-06
1.040000000000000e-08	5.968842e-06
1.192317891051690e-08	5.718096e-06
1.368099141051690e-08	5.448273e-06
1.582942891051691e-08	5.144926e-06
1.836849141051692e-08	4.820630e-06
2.129817891051695e-08	4.487754e-06
2.461849141051697e-08	4.157706e-06
2.813411641051700e-08	3.855817e-06
3.164974141051699e-08	3.596140e-06
3.516536641051695e-08	3.372772e-06
3.887630391051692e-08	3.170788e-06
4.258724141051688e-08	2.998494e-06
4.649349141051685e-08	2.844419e-06
5.039974141051681e-08	2.714088e-06
5.450130391051677e-08	2.598798e-06
5.860286641051673e-08	2.502087e-06
6.289974141051680e-08	2.417442e-06
6.739192891051690e-08	2.344126e-06
7.227474141051702e-08	2.278917e-06
7.735286641051715e-08	2.224122e-06
8.282161641051728e-08	2.177031e-06
8.887630391051743e-08	2.136277e-06
9.551692891051759e-08	2.102204e-06
1.029388039105178e-07	2.074003e-06
1.115325539105180e-07	2.050799e-06
1.218841164105182e-07	2.032126e-06
1.347747414105185e-07	2.017928e-06
1.523528664105190e-07	2.007738e-06
1.804778664105197e-07	2.001387e-06
1.888763039105199e-07	2.000565e-06
1.998138039105201e-07	1.999856e-06
2.000000000000000e-07	1.999847e-06
Step Information: V_bias=5  (Run: 5/5)
0.000000000000000e+00	2.664892e-06
1.000000000000000e-08	2.664892e-06
1.000953125000000e-08	2.771313e-06
1.002859375000000e-08	3.427015e-06
1.004956769574226e-08	4.443558e-06
1.007110755723425e-08	5.420096e-06
1.008128940507626e-08	5.793137e-06
1.008624870735710e-08	5.941187e-06
1.009286111039822e-08	6.123342e-06
1.010000000000000e-08	6.308268e-06
1.010499722272124e-08	6.422591e-06
1.011070833440266e-08	6.541763e-06
1.012213055776550e-08	6.748400e-06
1.014497500449118e-08	7.064366e-06
1.019066389794254e-08	7.480984e-06
1.024192949523550e-08	7.742838e-06
1.030000000000000e-08	7.898931e-06
1.030580705047645e-08	7.905293e-06
1.031742115142935e-08	7.916660e-06
1.034064935333515e-08	7.935680e-06
1.035354359618840e-08	7.943997e-06
1.037421151429351e-08	7.952425e-06
1.040000000000000e-08	7.957187e-06
1.170407626847244e-08	7.669699e-06
1.326657626847243e-08	7.345633e-06
1.521970126847243e-08	6.969898e-06
1.736813876847245e-08	6.591330e-06
1.990720126847247e-08	6.186619e-06
2.283688876847249e-08	5.771198e-06
2.615720126847251e-08	5.359308e-06
2.967282626847254e-08	4.982559e-06
3.318845126847251e-08	4.658490e-06
3.670407626847247e-08	4.379733e-06
4.021970126847244e-08	4.139954e-06
4.393063876847240e-08	3.923129e-06
4.764157626847237e-08	3.738176e-06
5.135251376847233e-08	3.580411e-06
5.525876376847230e-08	3.439328e-06
5.916501376847226e-08	3.319986e-06
6.326657626847234e-08	3.214417e-06
6.756345126847244e-08	3.122020e-06
7.205563876847255e-08	3.041989e-06
7.674313876847267e-08	2.973378e-06
8.162595126847278e-08	2.915147e-06
8.689938876847291e-08	2.864539e-06
9.256345126847305e-08	2.821522e-06
9.881345126847320e-08	2.784727e-06
1.058447012684734e-07	2.753558e-06
1.138525137684736e-07	2.727807e-06
1.232275137684738e-07	2.706996e-06
1.347509512684741e-07	2.690590e-06
1.497900137684744e-07	2.678384e-06
1.716650137684750e-07	2.670177e-06
1.904150137684754e-07	2.667259e-06
1.999853262684757e-07	2.666463e-06
2.000000000000000e-07	2.666462e-06
