time	I(Rq)
Step Information: V_bias=1  (Run: 1/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-08	-3.108625e-21
1.010000000000000e-08	9.039436e-19
1.030000000000000e-08	-2.837730e-19
1.040000000000000e-08	2.950973e-19
7.234487087703452e-08	3.397282e-20
7.498158962703458e-08	3.379538e-20
7.500000000000000e-08	3.352874e-20
Step Information: V_bias=2  (Run: 2/11)
0.000000000000000e+00	6.662229e-07
1.000000000000000e-08	6.662229e-07
1.000406328117328e-08	6.784039e-07
1.001218984351985e-08	7.569313e-07
1.002249038894824e-08	9.055829e-07
1.003346282669146e-08	1.063791e-06
1.004483188195860e-08	1.199363e-06
1.006756999249288e-08	1.408624e-06
1.010000000000000e-08	1.642840e-06
1.010972900225214e-08	1.687175e-06
1.012270100525498e-08	1.736609e-06
1.014864501126068e-08	1.809833e-06
1.020053302327207e-08	1.908118e-06
1.022675781250000e-08	1.939381e-06
1.024755042154415e-08	1.954756e-06
1.025841478191171e-08	1.960752e-06
1.028014350264682e-08	1.969946e-06
1.030000000000000e-08	1.976870e-06
1.030595694920595e-08	1.978399e-06
1.031389954814722e-08	1.980222e-06
1.032978474602976e-08	1.983225e-06
1.036155514179484e-08	1.987124e-06
1.040000000000000e-08	1.989220e-06
1.315589781043598e-08	1.841885e-06
1.630531187293596e-08	1.693490e-06
1.996742124793588e-08	1.544324e-06
2.392249937293580e-08	1.407455e-06
2.802406187293571e-08	1.288006e-06
3.227210874793573e-08	1.184543e-06
3.666663999793584e-08	1.095593e-06
4.128089781043595e-08	1.018575e-06
4.611488218543607e-08	9.526626e-07
5.124183531043619e-08	8.961758e-07
5.673499937293633e-08	8.479546e-07
6.274085874793647e-08	8.067250e-07
6.933265562293663e-08	7.721563e-07
7.196937437293669e-08	7.608408e-07
7.497230406043676e-08	7.494182e-07
7.500000000000000e-08	7.493194e-07
Step Information: V_bias=3  (Run: 3/11)
0.000000000000000e+00	1.332446e-06
1.000000000000000e-08	1.332446e-06
1.000406328117328e-08	1.356808e-06
1.001218984351985e-08	1.514478e-06
1.002314600544229e-08	1.829853e-06
1.003495877260756e-08	2.166168e-06
1.004650671809957e-08	2.436114e-06
1.006960260908360e-08	2.852621e-06
1.010000000000000e-08	3.284792e-06
1.010911921727492e-08	3.368531e-06
1.012127817364148e-08	3.462878e-06
1.014559608637460e-08	3.604966e-06
1.019423191184084e-08	3.796594e-06
1.022675781250000e-08	3.879674e-06
1.023494819868168e-08	3.893123e-06
1.025132897104505e-08	3.913329e-06
1.026818103154359e-08	3.931076e-06
1.027383648916558e-08	3.935740e-06
1.028137709932823e-08	3.941504e-06
1.028491877967469e-08	3.944008e-06
1.029200214036761e-08	3.948569e-06
1.030000000000000e-08	3.953385e-06
1.030559850174267e-08	3.956322e-06
1.031199678944858e-08	3.959349e-06
1.032479336486040e-08	3.964517e-06
1.035038651568405e-08	3.971208e-06
1.040000000000000e-08	3.977148e-06
1.237871710147393e-08	3.762193e-06
1.464922491397393e-08	3.536971e-06
1.728594366397389e-08	3.301488e-06
2.036211553897382e-08	3.058357e-06
2.387774053897375e-08	2.817031e-06
2.753984991397367e-08	2.601460e-06
3.127520147647366e-08	2.413792e-06
3.508379522647376e-08	2.250991e-06
3.903887335147385e-08	2.107818e-06
4.306719366397395e-08	1.984911e-06
4.724199835147405e-08	1.878052e-06
5.156328741397416e-08	1.785840e-06
5.610430303897427e-08	1.705682e-06
6.086504522647438e-08	1.636817e-06
6.591875616397450e-08	1.577562e-06
7.133867803897463e-08	1.526770e-06
7.148516241397463e-08	1.525554e-06
7.492754522647472e-08	1.499075e-06
7.500000000000000e-08	1.498558e-06
Step Information: V_bias=4  (Run: 4/11)
0.000000000000000e+00	1.998669e-06
1.000000000000000e-08	1.998669e-06
1.000406328117328e-08	2.035212e-06
1.001218984351985e-08	2.271717e-06
1.002314600544230e-08	2.744780e-06
1.003495877260756e-08	3.249252e-06
1.004650671809958e-08	3.654171e-06
1.006960260908361e-08	4.278932e-06
1.010000000000000e-08	4.927188e-06
1.010911921727492e-08	5.052796e-06
1.012127817364147e-08	5.194318e-06
1.014559608637458e-08	5.407448e-06
1.019423191184080e-08	5.690718e-06
1.023322488787231e-08	5.819141e-06
1.030000000000000e-08	5.934994e-06
1.030667751121277e-08	5.939486e-06
1.032003253363830e-08	5.947388e-06
1.034674257848938e-08	5.957590e-06
1.040000000000000e-08	5.966704e-06
1.201797206976593e-08	5.700971e-06
1.392226894476593e-08	5.410910e-06
1.619277675726591e-08	5.094616e-06
1.882949550726585e-08	4.763914e-06
2.183242519476579e-08	4.430088e-06
2.527480800726572e-08	4.096687e-06
2.886367519476564e-08	3.797677e-06
3.245254238226569e-08	3.541283e-06
3.611465175726578e-08	3.317285e-06
3.985000331976587e-08	3.122282e-06
4.365859706976596e-08	2.953117e-06
4.754043300726606e-08	2.806881e-06
5.156875331976615e-08	2.678768e-06
5.567031581976625e-08	2.569171e-06
5.999160488226636e-08	2.472751e-06
6.445937831976647e-08	2.390162e-06
6.914687831976658e-08	2.318931e-06
7.236953456976666e-08	2.277630e-06
7.493301113226672e-08	2.248615e-06
7.500000000000000e-08	2.247898e-06
Step Information: V_bias=5  (Run: 5/11)
0.000000000000000e+00	2.664892e-06
1.000000000000000e-08	2.664892e-06
